sample	DADA2_input	filtered	denoised	nonchim
L1S105	11340	8571	8499	7780
L1S140	9736	7676	7604	7162
L1S208	11335	9260	9146	8146
L1S257	8216	6705	6627	6388
L1S281	8904	7066	6975	6614
L1S57	11750	9298	9259	8701
L1S76	10100	8394	8336	7866
L1S8	12386	7662	7623	7032
L2S155	9261	4112	3932	3932
L2S175	10691	4545	4385	4385
L2S204	7297	3378	3198	3157
L2S222	8386	3485	3187	3187
L2S240	11986	5183	5094	5061
L2S309	3835	1549	1419	1419
L2S357	6253	2526	2373	2373
L2S382	9300	4279	4202	4089
L3S242	2055	970	951	897
L3S294	2317	1313	1225	1225
L3S313	1994	1191	1103	1103
L3S341	1853	1109	962	962
L3S360	2084	1130	966	966
L3S378	2146	1357	1321	1248
L4S112	16265	8602	8361	8339
L4S137	18787	10064	9921	9820
L4S63	17167	10095	9743	9743
L5S104	3460	2253	2227	2227
L5S155	2491	1827	1799	1799
L5S174	2792	1969	1953	1953
L5S203	3037	2132	2112	2112
L5S222	3390	2555	2520	2520
L5S240	2665	1817	1792	1792
L6S20	9775	7086	7046	6852
L6S68	9554	6169	6130	5980
L6S93	11270	7483	7408	7044
