sample	fastq_1
L1S8	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S8.fastq.gz
L1S57	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S57.fastq.gz
L1S76	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S76.fastq.gz
L1S105	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S105.fastq.gz
L2S155	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S155.fastq.gz
L2S175	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S175.fastq.gz
L2S204	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S204.fastq.gz
L2S222	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S222.fastq.gz
L3S242	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L3S242.fastq.gz
L3S294	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L3S294.fastq.gz
L3S313	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L3S313.fastq.gz
L3S341	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L3S341.fastq.gz
L3S360	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L3S360.fastq.gz
L5S104	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L5S104.fastq.gz
L5S155	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L5S155.fastq.gz
L5S174	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L5S174.fastq.gz
L5S203	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L5S203.fastq.gz
L5S222	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L5S222.fastq.gz
L1S140	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S140.fastq.gz
L1S208	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S208.fastq.gz
L1S257	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S257.fastq.gz
L1S281	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L1S281.fastq.gz
L2S240	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S240.fastq.gz
L2S309	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S309.fastq.gz
L2S357	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S357.fastq.gz
L2S382	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L2S382.fastq.gz
L3S378	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L3S378.fastq.gz
L4S63	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L4S63.fastq.gz
L4S112	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L4S112.fastq.gz
L4S137	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L4S137.fastq.gz
L5S240	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L5S240.fastq.gz
L6S20	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L6S20.fastq.gz
L6S68	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L6S68.fastq.gz
L6S93	/work/c00cjz00/nf-core-ampliseq-demo/01_data/fastq/L6S93.fastq.gz
