.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
L1S105	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S140	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S208	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S257	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S281	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S57	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S76	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L1S8	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L2S155	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L2S175	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L2S204	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L2S222	1	0.25	0.25	0.5	0.25	0.5	1	1	0.25	0.25	1
L2S240	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L2S309	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L2S357	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
L2S382	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
L3S242	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L3S294	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L3S313	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L3S341	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L3S360	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
L3S378	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L4S112	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
L4S137	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L4S63	1	0.25	0.25	1	0.25	0.5	1	1	0.25	0.25	1
L5S104	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L5S155	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L5S174	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L5S203	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L5S222	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L5S240	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L6S20	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L6S68	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
L6S93	1	0.25	0.25	1	0.25	0.25	1	1	0.25	0.25	1
