Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
L1S105	46.70194003527337	43.19223985890652
L1S140	60.17871815940838	31.419474116680355
L1S208	52.554036171151296	36.88575209528011
L1S257	42.879746835443036	46.372930866601756
L1S281	41.44204851752021	47.360736747529195
L1S57	45.5063829787234	44.136170212765954
L1S76	53.78217821782179	36.881188118811885
L1S8	43.06475052478605	47.908929436460525
L2S155	12.147716229348884	69.85206781125149
L2S175	16.845945187540924	66.65419511738847
L2S204	33.90434425106208	48.01973413731671
L2S222	5.759599332220367	71.85785833532078
L2S240	19.305856832971802	67.71233105289505
L2S309	27.692307692307693	56.610169491525426
L2S357	21.845514153206462	61.29857668319207
L2S382	9.752688172043012	73.89247311827957
L3S242	42.18978102189781	48.75912408759124
L3S294	13.077255071212775	71.04013810962452
L3S313	18.254764292878637	68.90672016048144
L3S341	21.370750134916353	64.49001618996223
L3S360	8.973128598848369	70.96928982725527
L3S378	55.452003727865794	33.690587138863
L4S112	20.12911158930218	63.11097448509068
L4S137	15.095544791611221	71.52818438281791
L4S63	17.242383643036057	64.58321197646649
L5S104	18.583815028901736	70.78034682080924
L5S155	23.00281011641911	67.52308309915696
L5S174	31.196275071633238	59.56303724928367
L5S203	15.047744484688838	73.69114257490946
L5S222	14.601769911504425	74.60176991150443
L5S240	22.73921200750469	67.2420262664165
L6S20	37.00255754475703	53.71867007672635
L6S68	20.462633451957295	68.6832740213523
L6S93	21.508429458740018	68.62466725820764
