Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
L1S105	(1, 0.4409171075837742)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.035273368606701945)	(9, 0.0)	(10, 0.0)	(15, 0.001763668430335097)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.007054673721340388)	(80, 0.007054673721340388)	(85, 0.0687830687830688)	(90, 0.1128747795414462)	(95, 0.05114638447971782)	(100, 0.008818342151675486)	(105, 0.02292768959435626)	(110, 0.06525573192239859)	(115, 0.06525573192239859)	(120, 0.029982363315696647)	(125, 0.02292768959435626)	(130, 0.08641975308641976)	(135, 0.3915343915343915)	(140, 0.07054673721340389)	(145, 0.37213403880070545)	(150, 0.10875955320399766)
L1S140	(1, 0.5032867707477404)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.010271158586688579)	(6, 0.0)	(7, 0.0)	(8, 0.041084634346754315)	(9, 0.0)	(10, 0.0)	(15, 0.004108463434675431)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0020542317173377154)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.004108463434675431)	(80, 0.0020542317173377154)	(85, 0.06573541495480689)	(90, 0.09038619556285948)	(95, 0.0513557929334429)	(100, 0.008216926869350862)	(105, 0.020542317173377157)	(110, 0.055464256368118324)	(115, 0.055464256368118324)	(120, 0.02259654889071487)	(125, 0.024650780608052588)	(130, 0.07600657354149548)	(135, 0.32251437962202134)	(140, 0.07600657354149548)	(145, 0.3184059161873459)	(150, 0.06505067104902766)
L1S208	(1, 0.33524481693868546)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.08822232024702249)	(9, 0.0)	(10, 0.0)	(15, 0.00882223202470225)	(20, 0.0035288928098809)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0035288928098809)	(55, 0.0)	(60, 0.0)	(65, 0.0035288928098809)	(70, 0.00882223202470225)	(75, 0.00882223202470225)	(80, 0.010586678429642699)	(85, 0.070577856197618)	(90, 0.0952801058667843)	(95, 0.0564622849580944)	(100, 0.005293339214821349)	(105, 0.02999558888398765)	(110, 0.07940008822232025)	(115, 0.06881340979267755)	(120, 0.035288928098809)	(125, 0.02293780326422585)	(130, 0.07940008822232025)	(135, 0.38994265549183943)	(140, 0.07234230260255846)	(145, 0.407587119541244)	(150, 0.11762976032936333)
L1S257	(1, 0.49902629016553063)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.09737098344693282)	(9, 0.0)	(10, 0.0)	(15, 0.009737098344693282)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0024342745861733205)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0024342745861733205)	(80, 0.009737098344693282)	(85, 0.13631937682570594)	(90, 0.17283349561830574)	(95, 0.09493670886075949)	(100, 0.0)	(105, 0.03164556962025317)	(110, 0.13631937682570594)	(115, 0.12414800389483935)	(120, 0.05355404089581305)	(125, 0.0365141187925998)	(130, 0.16066212268743912)	(135, 0.49172346640701076)	(140, 0.12658227848101267)	(145, 0.36270691333982474)	(150, 0.15417072379097696)
L1S281	(1, 0.3369272237196766)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.011230907457322553)	(6, 0.0)	(7, 0.0)	(8, 0.05615453728661276)	(9, 0.0)	(10, 0.0)	(15, 0.004492362982929021)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.004492362982929021)	(80, 0.017969451931716084)	(85, 0.07637017070979335)	(90, 0.09209344115004493)	(95, 0.05390835579514825)	(100, 0.011230907457322553)	(105, 0.024707996406109614)	(110, 0.0876010781671159)	(115, 0.06064690026954178)	(120, 0.038185085354896675)	(125, 0.024707996406109614)	(130, 0.0876010781671159)	(135, 0.3885893980233603)	(140, 0.0853548966756514)	(145, 0.3593890386343217)	(150, 0.11979634621144056)
L1S57	(1, 0.33191489361702126)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.10212765957446808)	(9, 0.0)	(10, 0.0)	(15, 0.010212765957446808)	(20, 0.0017021276595744683)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0017021276595744683)	(80, 0.010212765957446808)	(85, 0.12425531914893617)	(90, 0.16170212765957448)	(95, 0.09361702127659574)	(100, 0.0)	(105, 0.04085106382978723)	(110, 0.13617021276595745)	(115, 0.11574468085106383)	(120, 0.06978723404255319)	(125, 0.04425531914893617)	(130, 0.15489361702127658)	(135, 0.38638297872340427)	(140, 0.11914893617021277)	(145, 0.41191489361702127)	(150, 0.16453900709219857)
L1S76	(1, 0.31683168316831684)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0594059405940594)	(9, 0.0)	(10, 0.0)	(15, 0.009900990099009901)	(20, 0.0039603960396039604)	(25, 0.007920792079207921)	(30, 0.009900990099009901)	(35, 0.009900990099009901)	(40, 0.007920792079207921)	(45, 0.009900990099009901)	(50, 0.009900990099009901)	(55, 0.009900990099009901)	(60, 0.009900990099009901)	(65, 0.009900990099009901)	(70, 0.009900990099009901)	(75, 0.009900990099009901)	(80, 0.021782178217821784)	(85, 0.09504950495049505)	(90, 0.10297029702970298)	(95, 0.0594059405940594)	(100, 0.009900990099009901)	(105, 0.03762376237623762)	(110, 0.08514851485148515)	(115, 0.08118811881188119)	(120, 0.05742574257425742)	(125, 0.0297029702970297)	(130, 0.08910891089108912)	(135, 0.43960396039603955)	(140, 0.07722772277227723)	(145, 0.37623762376237624)	(150, 0.11551155115511551)
L1S8	(1, 0.3713870498950428)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.12110447279186179)	(9, 0.0)	(10, 0.0)	(15, 0.011303084127240433)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.009688357823348943)	(80, 0.003229452607782981)	(85, 0.082351041498466)	(90, 0.12271919909575327)	(95, 0.05974487324398515)	(100, 0.0016147263038914905)	(105, 0.022606168254480866)	(110, 0.09365412562570645)	(115, 0.08719522041014048)	(120, 0.05490069433231067)	(125, 0.025835620862263847)	(130, 0.09365412562570645)	(135, 0.4004521233650896)	(140, 0.09688357823348942)	(145, 0.34716615533667045)	(150, 0.1264868938048334)
L2S155	(1, 0.45351473922902497)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.08638375985314761)	(9, 0.0)	(10, 0.0)	(15, 0.00431918799265738)	(20, 0.00215959399632869)	(25, 0.00431918799265738)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00431918799265738)	(85, 0.03671309793758774)	(90, 0.05398984990821725)	(95, 0.02591512795594428)	(100, 0.0)	(105, 0.0)	(110, 0.023755533959615594)	(115, 0.028074721952272973)	(120, 0.10582010582010583)	(125, 0.00647878198898607)	(130, 0.043191879926573806)	(135, 0.04751106791923119)	(140, 0.032393909944930355)	(145, 0.010797969981643452)	(150, 0.010797969981643452)
L2S175	(1, 0.3367318305116453)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.10289028154522495)	(9, 0.0)	(10, 0.0)	(15, 0.009353661958656815)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0018707323917313628)	(85, 0.04676830979328407)	(90, 0.08418295762791132)	(95, 0.03928538022635862)	(100, 0.0018707323917313628)	(105, 0.009353661958656815)	(110, 0.03928538022635862)	(115, 0.048639042185015434)	(120, 0.12159760546253859)	(125, 0.01870732391731363)	(130, 0.06734636610232905)	(135, 0.07670002806098589)	(140, 0.05799270414367225)	(145, 0.029931718267701805)	(150, 0.05300408443238862)
