Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
L1S105	(1, 38.56931216931217)	(2, 38.98562610229277)	(3, 39.07592592592592)	(4, 38.54109347442681)	(5, 38.86754850088183)	(6, 39.04003527336861)	(7, 38.922134038800706)	(8, 38.99162257495591)	(9, 38.54215167548501)	(10, 38.895873015873015)	(15, 39.27116402116402)	(20, 38.964779541446205)	(25, 38.68649029982363)	(30, 39.10970017636684)	(35, 38.86490299823633)	(40, 38.630776014109344)	(45, 38.63171075837742)	(50, 38.292698412698414)	(55, 38.02268077601411)	(60, 37.87555555555556)	(65, 37.240758377425045)	(70, 36.782539682539685)	(75, 34.81322751322752)	(80, 34.78008818342151)	(85, 33.6583950617284)	(90, 32.65805996472663)	(95, 30.215714285714284)	(100, 30.199805996472662)	(105, 28.751516754850087)	(110, 27.277583774250438)	(115, 25.13610229276896)	(120, 22.86377425044092)	(125, 20.814726631393295)	(130, 16.70820105820106)	(135, 10.863086419753085)	(140, 4.26968253968254)	(145, 3.3273368606701945)	(150, 3.209582598471487)
L1S140	(1, 36.03235414954807)	(2, 36.42943714050945)	(3, 36.474219391947415)	(4, 38.34511092851274)	(5, 38.30628594905505)	(6, 38.386092851273624)	(7, 38.369350862777324)	(8, 38.3905094494659)	(9, 38.191043549712404)	(10, 38.38601068200493)	(15, 38.54884963023829)	(20, 38.2876540673788)	(25, 38.11834428923582)	(30, 38.311175020542315)	(35, 38.301828266228426)	(40, 38.19638455217749)	(45, 38.083093672966314)	(50, 37.711483155299916)	(55, 37.49882908792112)	(60, 37.54954806902219)	(65, 37.121076417419886)	(70, 36.744823336072315)	(75, 34.98555875102712)	(80, 35.3517666392769)	(85, 34.8737674609696)	(90, 34.12631470829909)	(95, 32.970377978635995)	(100, 33.07859490550534)	(105, 31.569453574363187)	(110, 29.58804437140509)	(115, 26.45449876746097)	(120, 22.75499178307313)	(125, 19.98738701725555)	(130, 15.468118323746918)	(135, 9.207107641741988)	(140, 3.4337510271158584)	(145, 2.771261298274445)	(150, 2.6986099698712684)
L1S208	(1, 38.760829289810324)	(2, 39.12915747684164)	(3, 39.205116894574324)	(4, 39.12765769739744)	(5, 39.140538156153504)	(6, 39.347772386413766)	(7, 39.200352889280985)	(8, 39.249139832377594)	(9, 38.6429642699603)	(10, 38.899655932951035)	(15, 39.28495809439788)	(20, 38.99479488310543)	(25, 38.72767534186149)	(30, 39.11227172474636)	(35, 38.942973092192325)	(40, 38.75026025584473)	(45, 38.64)	(50, 38.28785178650199)	(55, 37.85533303925894)	(60, 37.87643581826202)	(65, 37.451292456991624)	(70, 37.099585355094845)	(75, 35.212298191442436)	(80, 35.33591530657256)	(85, 35.10205558006176)	(90, 34.27377150419056)	(95, 32.67689457432731)	(100, 33.027631230701374)	(105, 31.476259373621524)	(110, 29.808310542567273)	(115, 27.208928098808997)	(120, 24.001288045875604)	(125, 21.64571680635201)	(130, 17.20397000441111)	(135, 11.134856638729598)	(140, 4.578720776356418)	(145, 3.591618879576533)	(150, 3.4618144390530805)
L1S257	(1, 38.81937682570594)	(2, 39.15055988315482)	(3, 39.23222979552094)	(4, 39.24537487828627)	(5, 39.21762414800389)	(6, 39.38327653359299)	(7, 39.283714703018504)	(8, 39.330817916260955)	(9, 38.740628042843234)	(10, 38.9457400194742)	(15, 39.31528724440117)	(20, 39.03191333982473)	(25, 38.7463729308666)	(30, 39.122784810126575)	(35, 38.899464459591044)	(40, 38.71085686465433)	(45, 38.565701071080824)	(50, 38.26407010710808)	(55, 37.82181110029211)	(60, 37.72709347614411)	(65, 37.24038461538462)	(70, 36.8498052580331)	(75, 35.04861246348588)	(80, 35.20287244401169)	(85, 34.7576923076923)	(90, 33.894595910418694)	(95, 32.134152872444005)	(100, 32.563291139240505)	(105, 30.893914313534566)	(110, 29.459639727361246)	(115, 26.89018987341772)	(120, 23.7792599805258)	(125, 21.441553067185975)	(130, 16.994668938656282)	(135, 11.033398247322298)	(140, 4.764556962025317)	(145, 3.7401898734177217)	(150, 3.6312074001947416)
L1S281	(1, 38.63645552560647)	(2, 39.05896226415094)	(3, 39.15408805031446)	(4, 39.232479784366575)	(5, 39.19328391734052)	(6, 39.33007637017071)	(7, 39.26549865229111)	(8, 39.2990790655885)	(9, 38.70361635220126)	(10, 38.95053908355795)	(15, 39.31033243486074)	(20, 39.04225067385445)	(25, 38.77841419586702)	(30, 39.14604672057502)	(35, 38.82216981132076)	(40, 38.635691823899364)	(45, 38.48203054806829)	(50, 38.252628032345015)	(55, 37.74384546271339)	(60, 37.70575022461814)	(65, 37.20959119496855)	(70, 36.82708894878706)	(75, 35.050000000000004)	(80, 35.093508535489676)	(85, 34.529806828391735)	(90, 33.63762353998204)	(95, 31.647057502246184)	(100, 32.0460017969452)	(105, 30.27854896675651)	(110, 28.666621743036835)	(115, 26.178706199460912)	(120, 23.019946091644204)	(125, 20.849775381850854)	(130, 16.229357592093443)	(135, 10.503256963162624)	(140, 4.685646900269541)	(145, 3.6843441150044924)	(150, 3.552897574123989)
L1S57	(1, 38.67872340425532)	(2, 38.990042553191486)	(3, 39.064510638297875)	(4, 39.031829787234045)	(5, 39.02246808510638)	(6, 39.24595744680851)	(7, 39.11063829787234)	(8, 39.212170212765955)	(9, 38.41565957446809)	(10, 38.81014468085107)	(15, 39.248885106382986)	(20, 38.907182978723405)	(25, 38.63312340425532)	(30, 39.0511829787234)	(35, 38.70274042553192)	(40, 38.55868936170212)	(45, 38.41164255319149)	(50, 38.05671489361701)	(55, 37.53160851063829)	(60, 37.55697021276596)	(65, 36.968289361702126)	(70, 36.56994042553192)	(75, 34.74110638297872)	(80, 34.537429787234046)	(85, 34.14566808510639)	(90, 33.109276595744674)	(95, 31.074451063829788)	(100, 31.361702127659573)	(105, 29.47824680851064)	(110, 28.004612765957443)	(115, 26.026672340425534)	(120, 23.429021276595744)	(125, 20.93531914893617)	(130, 16.41428085106383)	(135, 10.496221276595744)	(140, 4.597344680851064)	(145, 3.773412765957447)	(150, 3.5232340425531916)
L1S76	(1, 38.49326732673267)	(2, 38.78722772277228)	(3, 38.86415841584159)	(4, 39.03851485148515)	(5, 38.92445544554455)	(6, 39.09594059405941)	(7, 39.0619801980198)	(8, 39.10504950495049)	(9, 38.597029702970296)	(10, 38.92382178217822)	(15, 39.267089108910895)	(20, 38.91423762376238)	(25, 38.64190099009901)	(30, 39.05566336633663)	(35, 38.68893069306931)	(40, 38.50590099009901)	(45, 38.33207920792079)	(50, 37.97815841584158)	(55, 37.63223762376238)	(60, 37.67839603960397)	(65, 36.99508910891089)	(70, 36.65170297029703)	(75, 34.683623762376236)	(80, 34.730673267326736)	(85, 34.367287128712874)	(90, 33.60089108910891)	(95, 32.04207920792079)	(100, 32.26413861386139)	(105, 30.628693069306927)	(110, 29.0819603960396)	(115, 27.29390099009901)	(120, 24.6779603960396)	(125, 22.14009900990099)	(130, 17.273722772277228)	(135, 10.561425742574256)	(140, 3.863128712871287)	(145, 3.087920792079208)	(150, 3.018349834983498)
L1S8	(1, 38.68650088809947)	(2, 38.97803972226708)	(3, 39.058049410624896)	(4, 37.992491522686905)	(5, 38.7173421605038)	(6, 38.902147585984174)	(7, 38.79888583885032)	(8, 38.83247214597126)	(9, 38.35201033424835)	(10, 38.8289197481027)	(15, 39.23768771193282)	(20, 38.86029388018731)	(25, 38.627401905377035)	(30, 39.07111254642338)	(35, 38.79048926207008)	(40, 38.50046827062813)	(45, 38.50216373324722)	(50, 38.036670434361376)	(55, 38.00196996609075)	(60, 37.82682060390764)	(65, 36.97451961892459)	(70, 36.44346843210076)	(75, 34.22171806878735)	(80, 33.81183594380752)	(85, 31.753479735184886)	(90, 30.223268206039073)	(95, 26.66310350395608)	(100, 26.17724850637817)	(105, 24.65596641369288)	(110, 22.86610689488132)	(115, 20.87545616018085)	(120, 18.6744388826094)	(125, 16.435184886161796)	(130, 12.75909898272243)	(135, 7.763038914903925)	(140, 3.2150976909413855)	(145, 2.749668981107702)	(150, 2.6703536250605517)
L2S155	(1, 38.53698304718713)	(2, 38.71255803908865)	(3, 38.8475326638592)	(4, 38.41701760069107)	(5, 38.19328366267142)	(6, 38.567649281935)	(7, 38.638915883813844)	(8, 38.661159701976025)	(9, 37.655760716985206)	(10, 37.29545405463772)	(15, 38.24254400172768)	(20, 38.290486988446176)	(25, 38.10167368534716)	(30, 38.26174279235504)	(35, 37.87996976568405)	(40, 37.10748299319728)	(45, 37.11191016088975)	(50, 36.80721304394774)	(55, 36.62347478674009)	(60, 35.04386135406544)	(65, 34.07556419393154)	(70, 33.26856710938343)	(75, 32.405463772810705)	(80, 31.891091674765146)	(85, 30.011920958859736)	(90, 28.30486988446172)	(95, 25.02950005398985)	(100, 23.949033581686642)	(105, 19.723744735989634)	(110, 18.040082064571862)	(115, 15.26379440665155)	(120, 12.41801101392938)	(125, 10.379008746355685)	(130, 7.048396501457726)	(135, 4.409156678544433)	(140, 3.079904977864161)	(145, 2.871741712558039)	(150, 2.830687830687831)
L2S175	(1, 38.533813487980545)	(2, 38.64568328500608)	(3, 38.78374333551585)	(4, 38.60321765971378)	(5, 38.211486296885234)	(6, 38.74015527078851)	(7, 38.52530165559817)	(8, 38.70535964830231)	(9, 37.43719015994762)	(10, 37.39487419324665)	(15, 38.34810588345338)	(20, 38.295968571695816)	(25, 38.06233280329249)	(30, 38.18364979889627)	(35, 37.881152371153306)	(40, 37.27269666074268)	(45, 37.25075296978767)	(50, 37.049125432606864)	(55, 36.75659900851183)	(60, 34.83142830418109)	(65, 34.12661116827238)	(70, 33.340136563464604)	(75, 32.4408380881115)	(80, 32.03062388925264)	(85, 29.96526049948555)	(90, 27.83455242727528)	(95, 24.310953138153586)	(100, 22.561013936956318)	(105, 18.36254793751754)	(110, 17.017641006454028)	(115, 14.73684407445515)	(120, 12.18516509213357)	(125, 10.063174632868769)	(130, 7.171415209054345)	(135, 4.5283696567206055)	(140, 3.314339163782621)	(145, 3.1179683846225794)	(150, 3.0349515168521806)
