Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
L1S105	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.004409171075837743)	(38.0, 0.008818342151675486)	(39.0, 0.008818342151675486)	(40.0, 0.004409171075837743)	(41.0, 0.004409171075837743)	(42.0, 0.057319223985890656)	(43.0, 0.7231040564373897)	(44.0, 10.202821869488536)	(45.0, 14.664902998236332)	(46.0, 7.2751322751322745)	(47.0, 4.025573192239859)	(48.0, 7.852733686067019)	(49.0, 7.037037037037037)	(50.0, 2.376543209876543)	(51.0, 2.376543209876543)	(52.0, 6.3051146384479715)	(53.0, 6.538800705467372)	(54.0, 3.1790123456790123)	(55.0, 3.267195767195767)	(56.0, 2.328042328042328)	(57.0, 2.5220458553791887)	(58.0, 7.905643738977072)	(59.0, 8.148148148148149)	(60.0, 2.3059964726631392)	(61.0, 0.6613756613756614)	(62.0, 0.18959435626102292)	(63.0, 0.013227513227513229)	(64.0, 0.004409171075837743)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.004409171075837743)	(68.0, 0.004409171075837743)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S140	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.005135579293344289)	(39.0, 0.010271158586688579)	(40.0, 0.005135579293344289)	(41.0, 0.005135579293344289)	(42.0, 0.08730484798685292)	(43.0, 0.8987263763352507)	(44.0, 13.013557929334429)	(45.0, 20.480690221857024)	(46.0, 12.885168447000822)	(47.0, 7.811216105176665)	(48.0, 7.48253903040263)	(49.0, 5.685086277732128)	(50.0, 4.806902218570254)	(51.0, 4.365242399342646)	(52.0, 1.4944535743631882)	(53.0, 1.3609285127362365)	(54.0, 4.021158586688578)	(55.0, 5.1766639276910436)	(56.0, 4.026294165981923)	(57.0, 2.9786359901396877)	(58.0, 1.6844700082169268)	(59.0, 1.0579293344289236)	(60.0, 0.4365242399342646)	(61.0, 0.16433853738701726)	(62.0, 0.0513557929334429)	(63.0, 0.005135579293344289)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S208	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.004411116012351125)	(33.0, 0.004411116012351125)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.013233348037053373)	(40.0, 0.0176444640494045)	(41.0, 0.08822232024702249)	(42.0, 0.1985002205558006)	(43.0, 0.8866343184825761)	(44.0, 11.199823555359506)	(45.0, 15.580061755624172)	(46.0, 9.078076753418616)	(47.0, 8.539920599911778)	(48.0, 10.07940008822232)	(49.0, 7.194530216144685)	(50.0, 3.564181737979709)	(51.0, 2.695191883546537)	(52.0, 3.0657256285840315)	(53.0, 3.895015438906043)	(54.0, 3.64799294221438)	(55.0, 4.481693868548743)	(56.0, 4.54786060873401)	(57.0, 3.5818262020291134)	(58.0, 3.4583149536832822)	(59.0, 2.540802823114248)	(60.0, 1.054256726951919)	(61.0, 0.4808116453462726)	(62.0, 0.07940008822232025)	(63.0, 0.013233348037053373)	(64.0, 0.0)	(65.0, 0.004411116012351125)	(66.0, 0.004411116012351125)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S257	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0182570593962999)	(39.0, 0.024342745861733205)	(40.0, 0.006085686465433301)	(41.0, 0.18257059396299902)	(42.0, 0.3347127555988315)	(43.0, 0.7911392405063291)	(44.0, 8.702531645569621)	(45.0, 12.834712755598831)	(46.0, 7.546251217137293)	(47.0, 7.254138266796495)	(48.0, 10.56475170399221)	(49.0, 8.605160662122687)	(50.0, 4.004381694255112)	(51.0, 2.3429892891918205)	(52.0, 2.8420155793573514)	(53.0, 3.207156767283349)	(54.0, 3.803554040895813)	(55.0, 6.82205452775073)	(56.0, 8.264362220058423)	(57.0, 5.477117818889971)	(58.0, 2.9576436222005844)	(59.0, 2.203018500486855)	(60.0, 0.9128529698149951)	(61.0, 0.24951314508276531)	(62.0, 0.042599805258033106)	(63.0, 0.006085686465433301)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S281	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.011230907457322553)	(39.0, 0.01684636118598383)	(40.0, 0.011230907457322553)	(41.0, 0.12353998203054807)	(42.0, 0.2526954177897574)	(43.0, 0.8479335130278527)	(44.0, 10.65251572327044)	(45.0, 13.46024258760108)	(46.0, 5.682839173405211)	(47.0, 6.390386343216532)	(48.0, 8.53548966756514)	(49.0, 5.463836477987422)	(50.0, 3.341194968553459)	(51.0, 3.273809523809524)	(52.0, 4.1610512129380055)	(53.0, 4.391284815813118)	(54.0, 4.1610512129380055)	(55.0, 6.895777178796046)	(56.0, 8.89487870619946)	(57.0, 6.221922731356694)	(58.0, 3.139038634321653)	(59.0, 2.543800539083558)	(60.0, 1.0725516621743036)	(61.0, 0.3481581311769991)	(62.0, 0.07861635220125787)	(63.0, 0.01684636118598383)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.005615453728661277)	(71.0, 0.005615453728661277)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S57	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.00851063829787234)	(39.0, 0.01276595744680851)	(40.0, 0.00851063829787234)	(41.0, 0.01276595744680851)	(42.0, 0.08085106382978724)	(43.0, 1.0127659574468084)	(44.0, 12.663829787234043)	(45.0, 18.174468085106383)	(46.0, 8.497872340425532)	(47.0, 3.127659574468085)	(48.0, 3.323404255319149)	(49.0, 2.6936170212765957)	(50.0, 1.0510638297872341)	(51.0, 1.8638297872340428)	(52.0, 7.348936170212767)	(53.0, 8.182978723404254)	(54.0, 6.285106382978724)	(55.0, 6.582978723404255)	(56.0, 4.991489361702127)	(57.0, 4.1063829787234045)	(58.0, 4.506382978723404)	(59.0, 3.8170212765957445)	(60.0, 1.097872340425532)	(61.0, 0.3872340425531915)	(62.0, 0.13191489361702127)	(63.0, 0.02127659574468085)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.00425531914893617)	(68.0, 0.00425531914893617)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S76	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0049504950495049506)	(15.0, 0.0049504950495049506)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0049504950495049506)	(39.0, 0.024752475247524754)	(40.0, 0.024752475247524754)	(41.0, 0.01485148514851485)	(42.0, 0.09405940594059406)	(43.0, 1.306930693069307)	(44.0, 16.712871287128714)	(45.0, 22.514851485148515)	(46.0, 8.841584158415841)	(47.0, 3.237623762376238)	(48.0, 3.6237623762376234)	(49.0, 2.589108910891089)	(50.0, 1.6732673267326734)	(51.0, 2.1980198019801978)	(52.0, 5.876237623762376)	(53.0, 6.376237623762377)	(54.0, 4.599009900990099)	(55.0, 4.866336633663367)	(56.0, 3.9554455445544554)	(57.0, 3.5049504950495054)	(58.0, 3.683168316831683)	(59.0, 3.014851485148515)	(60.0, 0.801980198019802)	(61.0, 0.32673267326732675)	(62.0, 0.09900990099009901)	(63.0, 0.01485148514851485)	(64.0, 0.0049504950495049506)	(65.0, 0.0049504950495049506)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L1S8	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.004036815759728726)	(41.0, 0.012110447279186178)	(42.0, 0.04844178911674471)	(43.0, 0.722590020991442)	(44.0, 11.34345228483772)	(45.0, 18.896334571290165)	(46.0, 10.36250605522364)	(47.0, 2.575488454706927)	(48.0, 1.7116098821249797)	(49.0, 1.4492168577426126)	(50.0, 0.6418537057968674)	(51.0, 0.7589213628290005)	(52.0, 1.162602938801873)	(53.0, 2.103181010818666)	(54.0, 5.0379460681414505)	(55.0, 5.235750040368157)	(56.0, 2.212175036331342)	(57.0, 3.0518327143549167)	(58.0, 13.68480542548038)	(59.0, 14.60519941869853)	(60.0, 3.677539157112869)	(61.0, 0.5772646536412078)	(62.0, 0.1089940255126756)	(63.0, 0.012110447279186178)	(64.0, 0.004036815759728726)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L2S155	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.005398984990821726)	(30.0, 0.005398984990821726)	(31.0, 0.010797969981643452)	(32.0, 0.021595939963286903)	(33.0, 0.016196954972465177)	(34.0, 0.03779289493575208)	(35.0, 0.043191879926573806)	(36.0, 0.03779289493575208)	(37.0, 0.043191879926573806)	(38.0, 0.016196954972465177)	(39.0, 0.005398984990821726)	(40.0, 0.010797969981643452)	(41.0, 0.12417665478889968)	(42.0, 0.1673685347154735)	(43.0, 0.11337868480725624)	(44.0, 0.2969441744951949)	(45.0, 0.5183025591188857)	(46.0, 0.8530396285498325)	(47.0, 2.0192203865673255)	(48.0, 2.991037684915236)	(49.0, 3.2609869344563225)	(50.0, 8.314436885865458)	(51.0, 11.462045135514524)	(52.0, 10.474030882194148)	(53.0, 9.680380088543354)	(54.0, 7.833927221682324)	(55.0, 9.25925925925926)	(56.0, 11.343267465716446)	(57.0, 8.913724219846669)	(58.0, 5.901090594968146)	(59.0, 3.8224813735017813)	(60.0, 1.338948277723788)	(61.0, 0.4859086491739553)	(62.0, 0.215959399632869)	(63.0, 0.14037360976136484)	(64.0, 0.08638375985314761)	(65.0, 0.043191879926573806)	(66.0, 0.026994924954108625)	(67.0, 0.010797969981643452)	(68.0, 0.005398984990821726)	(69.0, 0.005398984990821726)	(70.0, 0.021595939963286903)	(71.0, 0.016196954972465177)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
L2S175	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.014030492937985221)	(36.0, 0.023384154896642036)	(37.0, 0.009353661958656815)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.023384154896642036)	(42.0, 0.060798802731269294)	(43.0, 0.11692077448321019)	(44.0, 0.31334767561500326)	(45.0, 0.5425123936020952)	(46.0, 1.2112992236460574)	(47.0, 2.076512954821813)	(48.0, 2.4225984472921147)	(49.0, 2.539519221775325)	(50.0, 3.8350014030492936)	(51.0, 8.839210550930689)	(52.0, 9.638948648395846)	(53.0, 8.9233935085586)	(54.0, 11.229071181367505)	(55.0, 14.493499204938734)	(56.0, 13.30090730520999)	(57.0, 7.3098868206903)	(58.0, 6.383874286783275)	(59.0, 4.5832943597418385)	(60.0, 1.2487138714806847)	(61.0, 0.3367318305116453)	(62.0, 0.22448788700776354)	(63.0, 0.1309512674211954)	(64.0, 0.060798802731269294)	(65.0, 0.028060985875970442)	(66.0, 0.01870732391731363)	(67.0, 0.014030492937985221)	(68.0, 0.01870732391731363)	(69.0, 0.014030492937985221)	(70.0, 0.009353661958656815)	(71.0, 0.004676830979328407)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
