Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
L1S105	(15.0, 1.0)	(16.0, 9.0)	(17.0, 12.0)	(18.0, 28.0)	(19.0, 57.0)	(20.0, 103.0)	(21.0, 244.0)	(22.0, 267.0)	(23.0, 385.0)	(24.0, 302.0)	(25.0, 298.0)	(26.0, 373.0)	(27.0, 455.0)	(28.0, 575.0)	(29.0, 743.0)	(30.0, 946.0)	(31.0, 1346.0)	(32.0, 1693.0)	(33.0, 1949.0)	(34.0, 1036.0)	(35.0, 363.0)	(36.0, 141.0)	(37.0, 14.0)												
L1S140	(14.0, 1.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 6.0)	(18.0, 14.0)	(19.0, 18.0)	(20.0, 38.0)	(21.0, 58.0)	(22.0, 56.0)	(23.0, 97.0)	(24.0, 141.0)	(25.0, 215.0)	(26.0, 339.0)	(27.0, 573.0)	(28.0, 859.0)	(29.0, 1074.0)	(30.0, 1189.0)	(31.0, 1548.0)	(32.0, 1811.0)	(33.0, 1229.0)	(34.0, 309.0)	(35.0, 128.0)	(36.0, 29.0)												
L1S208	(15.0, 1.0)	(16.0, 8.0)	(17.0, 10.0)	(18.0, 18.0)	(19.0, 43.0)	(20.0, 44.0)	(21.0, 77.0)	(22.0, 84.0)	(23.0, 111.0)	(24.0, 137.0)	(25.0, 201.0)	(26.0, 312.0)	(27.0, 508.0)	(28.0, 718.0)	(29.0, 956.0)	(30.0, 1173.0)	(31.0, 1420.0)	(32.0, 1937.0)	(33.0, 1916.0)	(34.0, 1066.0)	(35.0, 348.0)	(36.0, 217.0)	(37.0, 30.0)												
L1S257	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 8.0)	(18.0, 10.0)	(19.0, 25.0)	(20.0, 37.0)	(21.0, 48.0)	(22.0, 73.0)	(23.0, 89.0)	(24.0, 124.0)	(25.0, 168.0)	(26.0, 241.0)	(27.0, 368.0)	(28.0, 555.0)	(29.0, 702.0)	(30.0, 854.0)	(31.0, 1138.0)	(32.0, 1374.0)	(33.0, 1319.0)	(34.0, 646.0)	(35.0, 274.0)	(36.0, 143.0)	(37.0, 13.0)								
L1S281	(16.0, 1.0)	(17.0, 7.0)	(18.0, 19.0)	(19.0, 26.0)	(20.0, 42.0)	(21.0, 66.0)	(22.0, 98.0)	(23.0, 123.0)	(24.0, 137.0)	(25.0, 207.0)	(26.0, 326.0)	(27.0, 440.0)	(28.0, 631.0)	(29.0, 795.0)	(30.0, 979.0)	(31.0, 1245.0)	(32.0, 1397.0)	(33.0, 1298.0)	(34.0, 600.0)	(35.0, 289.0)	(36.0, 165.0)	(37.0, 12.0)	(38.0, 1.0)												
L1S57	(14.0, 2.0)	(15.0, 4.0)	(16.0, 4.0)	(17.0, 14.0)	(18.0, 35.0)	(19.0, 66.0)	(20.0, 102.0)	(21.0, 162.0)	(22.0, 184.0)	(23.0, 232.0)	(24.0, 219.0)	(25.0, 329.0)	(26.0, 395.0)	(27.0, 506.0)	(28.0, 685.0)	(29.0, 914.0)	(30.0, 1203.0)	(31.0, 1501.0)	(32.0, 1977.0)	(33.0, 1883.0)	(34.0, 844.0)	(35.0, 366.0)	(36.0, 118.0)	(37.0, 5.0)											
L1S76	(6.0, 1.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 15.0)	(19.0, 33.0)	(20.0, 57.0)	(21.0, 86.0)	(22.0, 100.0)	(23.0, 154.0)	(24.0, 139.0)	(25.0, 229.0)	(26.0, 300.0)	(27.0, 451.0)	(28.0, 610.0)	(29.0, 775.0)	(30.0, 1064.0)	(31.0, 1472.0)	(32.0, 1824.0)	(33.0, 1818.0)	(34.0, 686.0)	(35.0, 210.0)	(36.0, 54.0)				
L1S8	(15.0, 2.0)	(16.0, 10.0)	(17.0, 23.0)	(18.0, 48.0)	(19.0, 118.0)	(20.0, 212.0)	(21.0, 454.0)	(22.0, 569.0)	(23.0, 763.0)	(24.0, 573.0)	(25.0, 505.0)	(26.0, 609.0)	(27.0, 649.0)	(28.0, 690.0)	(29.0, 892.0)	(30.0, 983.0)	(31.0, 1285.0)	(32.0, 1699.0)	(33.0, 1525.0)	(34.0, 579.0)	(35.0, 153.0)	(36.0, 43.0)	(37.0, 2.0)												
L2S155	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 27.0)	(17.0, 68.0)	(18.0, 142.0)	(19.0, 249.0)	(20.0, 344.0)	(21.0, 405.0)	(22.0, 497.0)	(23.0, 621.0)	(24.0, 683.0)	(25.0, 693.0)	(26.0, 737.0)	(27.0, 878.0)	(28.0, 869.0)	(29.0, 918.0)	(30.0, 804.0)	(31.0, 640.0)	(32.0, 322.0)	(33.0, 188.0)	(34.0, 110.0)	(35.0, 51.0)	(36.0, 5.0)									
L2S175	(14.0, 2.0)	(15.0, 7.0)	(16.0, 31.0)	(17.0, 81.0)	(18.0, 188.0)	(19.0, 304.0)	(20.0, 422.0)	(21.0, 566.0)	(22.0, 662.0)	(23.0, 767.0)	(24.0, 824.0)	(25.0, 761.0)	(26.0, 825.0)	(27.0, 878.0)	(28.0, 934.0)	(29.0, 943.0)	(30.0, 936.0)	(31.0, 683.0)	(32.0, 343.0)	(33.0, 258.0)	(34.0, 189.0)	(35.0, 79.0)	(36.0, 8.0)												
L2S204	(15.0, 4.0)	(16.0, 10.0)	(17.0, 35.0)	(18.0, 96.0)	(19.0, 168.0)	(20.0, 245.0)	(21.0, 316.0)	(22.0, 341.0)	(23.0, 423.0)	(24.0, 482.0)	(25.0, 605.0)	(26.0, 613.0)	(27.0, 711.0)	(28.0, 728.0)	(29.0, 765.0)	(30.0, 641.0)	(31.0, 471.0)	(32.0, 270.0)	(33.0, 180.0)	(34.0, 115.0)	(35.0, 64.0)	(36.0, 11.0)	(37.0, 3.0)												
L2S222	(3.0, 1.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 21.0)	(17.0, 36.0)	(18.0, 108.0)	(19.0, 197.0)	(20.0, 290.0)	(21.0, 330.0)	(22.0, 463.0)	(23.0, 557.0)	(24.0, 627.0)	(25.0, 714.0)	(26.0, 724.0)	(27.0, 829.0)	(28.0, 773.0)	(29.0, 781.0)	(30.0, 686.0)	(31.0, 505.0)	(32.0, 325.0)	(33.0, 177.0)	(34.0, 150.0)	(35.0, 67.0)	(36.0, 20.0)	(37.0, 2.0)
L2S240	(13.0, 1.0)	(14.0, 3.0)	(15.0, 7.0)	(16.0, 28.0)	(17.0, 70.0)	(18.0, 160.0)	(19.0, 234.0)	(20.0, 357.0)	(21.0, 454.0)	(22.0, 566.0)	(23.0, 687.0)	(24.0, 750.0)	(25.0, 897.0)	(26.0, 1039.0)	(27.0, 1187.0)	(28.0, 1337.0)	(29.0, 1174.0)	(30.0, 1085.0)	(31.0, 860.0)	(32.0, 439.0)	(33.0, 307.0)	(34.0, 248.0)	(35.0, 88.0)	(36.0, 8.0)											
L2S309	(14.0, 1.0)	(15.0, 2.0)	(16.0, 10.0)	(17.0, 23.0)	(18.0, 58.0)	(19.0, 99.0)	(20.0, 171.0)	(21.0, 230.0)	(22.0, 272.0)	(23.0, 327.0)	(24.0, 286.0)	(25.0, 278.0)	(26.0, 289.0)	(27.0, 264.0)	(28.0, 338.0)	(29.0, 321.0)	(30.0, 314.0)	(31.0, 204.0)	(32.0, 135.0)	(33.0, 92.0)	(34.0, 71.0)	(35.0, 44.0)	(36.0, 5.0)	(37.0, 1.0)											
L2S357	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 18.0)	(17.0, 40.0)	(18.0, 116.0)	(19.0, 192.0)	(20.0, 318.0)	(21.0, 384.0)	(22.0, 451.0)	(23.0, 484.0)	(24.0, 487.0)	(25.0, 431.0)	(26.0, 457.0)	(27.0, 515.0)	(28.0, 530.0)	(29.0, 509.0)	(30.0, 496.0)	(31.0, 352.0)	(32.0, 197.0)	(33.0, 135.0)	(34.0, 86.0)	(35.0, 43.0)	(36.0, 8.0)							
