Sample	Unique Reads	Duplicate Reads
L1S105	642.0	10698.0
L1S140	480.0	9256.0
L1S208	680.0	10655.0
L1S257	586.0	7630.0
L1S281	642.0	8262.0
L1S57	697.0	11053.0
L1S76	559.0	9541.0
L1S8	531.0	11855.0
L2S155	1109.0	8152.0
L2S175	1094.0	9597.0
L2S204	913.0	6384.0
L2S222	1335.0	7051.0
L2S240	914.0	11072.0
L2S309	572.0	3263.0
L2S357	787.0	5466.0
L2S382	1131.0	8169.0
L3S242	203.0	1852.0
L3S294	417.0	1900.0
L3S313	364.0	1630.0
L3S341	378.0	1475.0
L3S360	467.0	1617.0
L3S378	241.0	1905.0
L4S112	1404.0	14861.0
L4S137	1351.0	17436.0
L4S63	1667.0	15500.0
L5S104	314.0	3146.0
L5S155	250.0	2241.0
L5S174	265.0	2527.0
L5S203	309.0	2728.0
L5S222	321.0	3069.0
L5S240	276.0	2389.0
L6S20	570.0	9205.0
L6S68	655.0	8899.0
L6S93	690.0	10580.0
