Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
L1S105	(1.0, 3.580246913580247)	(2.0, 1.252204585537919)	(3.0, 0.9788359788359788)	(4.0, 0.8818342151675485)	(5.0, 0.6172839506172839)	(6.0, 0.6878306878306878)	(7.0, 0.30864197530864196)	(8.0, 0.49382716049382713)	(9.0, 0.4761904761904762)	('>10', 8.589065255731922)	('>50', 1.9929453262786598)	('>100', 8.262786596119929)	('>500', 12.583774250440918)	('>1k', 12.592592592592592)	('>5k', 46.70194003527337)	('>10k+', 0.0)
L1S140	(1.0, 3.0402629416598193)	(2.0, 1.2325390304026294)	(3.0, 0.6778964667214462)	(4.0, 0.657354149548069)	(5.0, 0.462202136400986)	(6.0, 0.3697617091207888)	(7.0, 0.6470829909613804)	(8.0, 0.5751848808545604)	(9.0, 0.7395234182415776)	('>10', 6.0805258833196385)	('>50', 3.389482333607231)	('>100', 15.355382087099425)	('>500', 6.594083812654067)	('>1k', 0.0)	('>5k', 60.17871815940838)	('>10k+', 0.0)
L1S208	(1.0, 3.9170710189677984)	(2.0, 1.4997794441993826)	(3.0, 0.8469342743714159)	(4.0, 0.529333921482135)	(5.0, 0.5734450816056462)	(6.0, 0.42346713718570794)	(7.0, 0.4940449933833259)	(8.0, 0.635200705778562)	(9.0, 0.7940008822232024)	('>10', 5.946184384649316)	('>50', 4.181737979708866)	('>100', 22.920158800176445)	('>500', 4.6846052051168945)	('>1k', 0.0)	('>5k', 52.554036171151296)	('>10k+', 0.0)
L1S257	(1.0, 4.625121713729309)	(2.0, 1.9230769230769231)	(3.0, 1.095423563777994)	(4.0, 0.8763388510223954)	(5.0, 0.547711781888997)	(6.0, 0.949367088607595)	(7.0, 0.34079844206426485)	(8.0, 0.3894839337877313)	(9.0, 0.6572541382667966)	('>10', 6.4629990262901655)	('>50', 4.016553067185979)	('>100', 27.872444011684514)	('>500', 7.363680623174294)	('>1k', 42.879746835443036)	('>5k', 0.0)	('>10k+', 0.0)
L1S281	(1.0, 4.716981132075472)	(2.0, 1.6846361185983827)	(3.0, 1.448787061994609)	(4.0, 0.7637017070979335)	(5.0, 0.7861635220125787)	(6.0, 0.6064690026954178)	(7.0, 0.4716981132075472)	(8.0, 0.7187780772686434)	(9.0, 0.20215633423180593)	('>10', 7.019317160826595)	('>50', 4.211590296495957)	('>100', 21.069182389937108)	('>500', 14.858490566037736)	('>1k', 41.44204851752021)	('>5k', 0.0)	('>10k+', 0.0)
L1S57	(1.0, 3.965957446808511)	(2.0, 1.5319148936170213)	(3.0, 0.7914893617021277)	(4.0, 0.5106382978723404)	(5.0, 0.5531914893617021)	(6.0, 0.7148936170212765)	(7.0, 0.4765957446808511)	(8.0, 0.6808510638297872)	(9.0, 0.2297872340425532)	('>10', 4.697872340425532)	('>50', 3.0127659574468084)	('>100', 12.153191489361701)	('>500', 16.340425531914892)	('>1k', 8.83404255319149)	('>5k', 45.5063829787234)	('>10k+', 0.0)
L1S76	(1.0, 3.554455445544554)	(2.0, 1.4455445544554457)	(3.0, 0.9207920792079207)	(4.0, 0.5544554455445544)	(5.0, 0.5445544554455445)	(6.0, 0.8316831683168318)	(7.0, 0.20792079207920794)	(8.0, 0.31683168316831684)	(9.0, 0.26732673267326734)	('>10', 5.544554455445545)	('>50', 4.237623762376238)	('>100', 13.584158415841586)	('>500', 14.207920792079207)	('>1k', 0.0)	('>5k', 53.78217821782179)	('>10k+', 0.0)
L1S8	(1.0, 2.6481511383820444)	(2.0, 0.8719522041014048)	(3.0, 0.750847731309543)	(4.0, 0.5813014694009365)	(5.0, 0.6458905215565962)	(6.0, 0.5328596802841918)	(7.0, 0.7347004682706281)	(8.0, 0.4521233650896173)	(9.0, 0.4359761020507024)	('>10', 5.110608751816567)	('>50', 1.23526562247699)	('>100', 9.308897141934443)	('>500', 4.844178911674471)	('>1k', 28.782496366865818)	('>5k', 43.06475052478605)	('>10k+', 0.0)
L2S155	(1.0, 7.9473059064895795)	(2.0, 3.196199114566461)	(3.0, 2.105604146420473)	(4.0, 1.1229888780909187)	(5.0, 0.9718172983479106)	(6.0, 0.5183025591188857)	(7.0, 0.8314436885865457)	(8.0, 0.431918799265738)	(9.0, 0.8746355685131195)	('>10', 13.519058417017602)	('>50', 8.055285606306015)	('>100', 22.81611057121261)	('>500', 14.32890616564086)	('>1k', 23.28042328042328)	('>5k', 0.0)	('>10k+', 0.0)
L2S175	(1.0, 6.584978018894397)	(2.0, 3.0492937985221213)	(3.0, 1.3188663361706108)	(4.0, 1.1972687307080723)	(5.0, 0.8418295762791134)	(6.0, 0.7857076045271724)	(7.0, 0.7202319708165748)	(8.0, 0.9727808437003087)	(9.0, 0.8418295762791134)	('>10', 12.019455616874005)	('>50', 7.557758862594706)	('>100', 21.5508371527453)	('>500', 0.0)	('>1k', 42.5591619118885)	('>5k', 0.0)	('>10k+', 0.0)
