Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
L1S105	94.33862433862434	51.0	152.0	152	54.54545454545454	0.01134
L1S140	95.06984387838948	49.0	152.0	152	54.54545454545454	0.009736
L1S208	94.00088222320247	50.0	152.0	152	54.54545454545454	0.011335
L1S257	92.86757546251218	50.0	152.0	152	54.54545454545454	0.008216
L1S281	92.78975741239893	50.0	152.0	152	54.54545454545454	0.008904
L1S57	94.06808510638298	50.0	152.0	152	54.54545454545454	0.01175
L1S76	94.46534653465346	49.0	152.0	152	54.54545454545454	0.0101
L1S8	95.7129016631681	52.0	152.0	152	54.54545454545454	0.012386
L2S155	88.02505129035741	52.0	152.0	152	54.54545454545454	0.009261
L2S175	89.76709381722945	52.0	152.0	152	54.54545454545454	0.010690999999999999
L2S204	87.4880087707277	51.0	152.0	152	54.54545454545454	0.007297
L2S222	84.09253517767708	53.0	152.0	152	45.45454545454545	0.008386
L2S240	92.37443684298349	52.0	152.0	152	54.54545454545454	0.011986
L2S309	85.08474576271186	51.0	152.0	152	54.54545454545454	0.003835
L2S357	87.4140412601951	51.0	152.0	152	45.45454545454545	0.006253
L2S382	87.83870967741936	52.0	152.0	152	45.45454545454545	0.0093
L3S242	90.12165450121654	52.0	152.0	152	54.54545454545454	0.002055
L3S294	82.00258955545965	52.0	152.0	152	54.54545454545454	0.002317
L3S313	81.74523570712137	52.0	152.0	152	54.54545454545454	0.001994
L3S341	79.60064759848893	52.0	152.0	152	54.54545454545454	0.0018529999999999998
L3S360	77.5911708253359	53.0	152.0	152	45.45454545454545	0.002084
L3S378	88.81640260950606	50.0	152.0	152	54.54545454545454	0.002146
L4S112	91.36796802951122	51.0	152.0	152	45.45454545454545	0.016264999999999998
L4S137	92.8088571884814	52.0	152.0	152	54.54545454545454	0.018786999999999998
L4S63	90.28950894157396	52.0	152.0	152	45.45454545454545	0.017166999999999998
L5S104	90.92485549132948	52.0	152.0	152	54.54545454545454	0.00346
L5S155	89.96386993175432	52.0	152.0	152	54.54545454545454	0.0024909999999999997
L5S174	90.50859598853869	51.0	152.0	152	54.54545454545454	0.0027919999999999998
L5S203	89.8254856766546	51.0	152.0	152	54.54545454545454	0.0030369999999999998
L5S222	90.53097345132744	50.0	152.0	152	54.54545454545454	0.00339
L5S240	89.64352720450282	52.0	152.0	152	54.54545454545454	0.002665
L6S20	94.1687979539642	52.0	152.0	152	54.54545454545454	0.009774999999999999
L6S68	93.1442327820808	52.0	152.0	152	54.54545454545454	0.009554
L6S93	93.87755102040816	51.0	152.0	152	54.54545454545454	0.011269999999999999
