Module	Section	Sample Name	Source
Snippy	snippy	multiqc	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/.nxf-tmp/tmp4uzu2e3z/multiqc.log
FastQC	all_sections	L1S8	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/13/L1S8_fastqc.zip
FastQC	all_sections	L1S57	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/8/L1S57_fastqc.zip
FastQC	all_sections	L1S76	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/14/L1S76_fastqc.zip
FastQC	all_sections	L1S105	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/10/L1S105_fastqc.zip
FastQC	all_sections	L1S140	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/21/L1S140_fastqc.zip
FastQC	all_sections	L1S208	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/22/L1S208_fastqc.zip
FastQC	all_sections	L1S257	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/27/L1S257_fastqc.zip
FastQC	all_sections	L1S281	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/24/L1S281_fastqc.zip
FastQC	all_sections	L2S155	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/4/L2S155_fastqc.zip
FastQC	all_sections	L2S175	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/5/L2S175_fastqc.zip
FastQC	all_sections	L2S204	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/9/L2S204_fastqc.zip
FastQC	all_sections	L2S222	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/6/L2S222_fastqc.zip
FastQC	all_sections	L2S240	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/23/L2S240_fastqc.zip
FastQC	all_sections	L2S309	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/25/L2S309_fastqc.zip
FastQC	all_sections	L2S357	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/26/L2S357_fastqc.zip
FastQC	all_sections	L2S382	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/28/L2S382_fastqc.zip
FastQC	all_sections	L3S242	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/12/L3S242_fastqc.zip
FastQC	all_sections	L3S294	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/11/L3S294_fastqc.zip
FastQC	all_sections	L3S313	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/3/L3S313_fastqc.zip
FastQC	all_sections	L3S341	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/7/L3S341_fastqc.zip
FastQC	all_sections	L3S360	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/15/L3S360_fastqc.zip
FastQC	all_sections	L3S378	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/29/L3S378_fastqc.zip
FastQC	all_sections	L4S63	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/32/L4S63_fastqc.zip
FastQC	all_sections	L4S112	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/30/L4S112_fastqc.zip
FastQC	all_sections	L4S137	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/31/L4S137_fastqc.zip
FastQC	all_sections	L5S104	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/17/L5S104_fastqc.zip
FastQC	all_sections	L5S155	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/16/L5S155_fastqc.zip
FastQC	all_sections	L5S174	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/20/L5S174_fastqc.zip
FastQC	all_sections	L5S203	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/19/L5S203_fastqc.zip
FastQC	all_sections	L5S222	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/18/L5S222_fastqc.zip
FastQC	all_sections	L5S240	/work/c00cjz00/nf-core-ampliseq-demo/work/83/d76c2ed3016bb7d2c5e59fbd8f72dc/33/L5S240_fastqc.zip
