sample	body_site	subject	reported_antibiotic_usage	days_since_experiment_start	DADA2_input	filtered	denoised	nonchim	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
L1S105	gut	subject-1	No	140	11340	8571	8499	7780	7780	7780	0	68.61	31.39
L1S140	gut	subject-2	Yes	0	9736	7676	7604	7162	7162	7162	0	73.56	26.44
L1S208	gut	subject-2	No	84	11335	9260	9146	8146	8146	8146	0	71.87	28.13
L1S257	gut	subject-2	No	140	8216	6705	6627	6388	6388	6388	0	77.75	22.25
L1S281	gut	subject-2	No	168	8904	7066	6975	6614	6614	6614	0	74.28	25.72
L1S57	gut	subject-1	No	84	11750	9298	9259	8701	8701	8701	0	74.05	25.95
L1S76	gut	subject-1	No	112	10100	8394	8336	7866	7866	7866	0	77.88	22.12
L1S8	gut	subject-1	Yes	0	12386	7662	7623	7032	7032	7032	0	56.77	43.23
L2S155	left palm	subject-1	No	84	9261	4112	3932	3932	3932	3766	166	40.67	59.33
L2S175	left palm	subject-1	No	112	10691	4545	4385	4385	4385	4377	8	40.94	59.06
L2S204	left palm	subject-1	No	140	7297	3378	3198	3157	3157	2987	170	40.93	59.07
L2S222	left palm	subject-1	No	168	8386	3485	3187	3187	3187	2949	238	35.17	64.83
L2S240	left palm	subject-2	Yes	0	11986	5183	5094	5061	5061	5052	9	42.15	57.85
L2S309	left palm	subject-2	No	84	3835	1549	1419	1419	1419	1359	60	35.44	64.56
L2S357	left palm	subject-2	No	140	6253	2526	2373	2373	2373	2300	73	36.78	63.22
L2S382	left palm	subject-2	No	168	9300	4279	4202	4089	4089	4082	7	43.89	56.11
L3S242	right palm	subject-1	Yes	0	2055	970	951	897	897	897	0	43.65	56.35
L3S294	right palm	subject-1	No	84	2317	1313	1225	1225	1225	1125	100	48.55	51.45
L3S313	right palm	subject-1	No	112	1994	1191	1103	1103	1103	1103	0	55.32	44.68
L3S341	right palm	subject-1	No	140	1853	1109	962	962	962	915	47	49.38	50.62
L3S360	right palm	subject-1	No	168	2084	1130	966	966	966	824	142	39.54	60.46
L3S378	right palm	subject-2	Yes	0	2146	1357	1321	1248	1248	1248	0	58.15	41.85
L4S112	right palm	subject-2	No	140	16265	8602	8361	8339	8339	8082	257	49.69	50.31
L4S137	right palm	subject-2	No	168	18787	10064	9921	9820	9820	9770	50	52.00	48.00
L4S63	right palm	subject-2	No	84	17167	10095	9743	9743	9743	9067	676	52.82	47.18
L5S104	tongue	subject-1	Yes	0	3460	2253	2227	2227	2227	1911	316	55.23	44.77
L5S155	tongue	subject-1	No	84	2491	1827	1799	1799	1799	1799	0	72.22	27.78
L5S174	tongue	subject-1	No	112	2792	1969	1953	1953	1953	1953	0	69.95	30.05
L5S203	tongue	subject-1	No	140	3037	2132	2112	2112	2112	2112	0	69.54	30.46
L5S222	tongue	subject-1	No	168	3390	2555	2520	2520	2520	2512	8	74.10	25.90
L5S240	tongue	subject-2	Yes	0	2665	1817	1792	1792	1792	1792	0	67.24	32.76
L6S20	tongue	subject-2	No	84	9775	7086	7046	6852	6852	6852	0	70.10	29.90
L6S68	tongue	subject-2	No	140	9554	6169	6130	5980	5980	5980	0	62.59	37.41
L6S93	tongue	subject-2	No	168	11270	7483	7408	7044	7044	7044	0	62.50	37.50
