task_id	hash	native_id	process	tag	name	status	exit	submit	module	cpus	memory	attempt	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
3	57/947242	2448384	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	-	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	CACHED	0	2026-08-03 01:26:29.656	-	1	1 GB	1	6.6s	4.1s	93.8%	0.0%	4.4 MB	9.8 MB	4.4 MB	9.8 MB	134.6 MB	652.4 MB
6	9e/35a071	2481141	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S76	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S76)	COMPLETED	0	2026-08-03 01:38:20.243	-	1	1 GB	1	626ms	21ms	65.2%	0.0%	0	0	0	0	118 KB	968 B
4	48/6649ee	2481122	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S8	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S8)	COMPLETED	0	2026-08-03 01:38:20.222	-	1	1 GB	1	668ms	29ms	60.5%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
13	65/e4bc45	2481365	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S294	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S294)	COMPLETED	0	2026-08-03 01:38:20.388	-	1	1 GB	1	575ms	24ms	71.9%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
14	1c/83fbb8	2481393	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S313	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S313)	COMPLETED	0	2026-08-03 01:38:20.397	-	1	1 GB	1	569ms	19ms	85.3%	0.0%	0	0	0	0	118 KB	968 B
9	7a/4994cc	2481277	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S175	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S175)	COMPLETED	0	2026-08-03 01:38:20.329	-	1	1 GB	1	650ms	24ms	48.2%	0.0%	0	0	0	0	118 KB	968 B
12	6f/e0949e	2481345	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S242	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S242)	COMPLETED	0	2026-08-03 01:38:20.376	-	1	1 GB	1	613ms	30ms	47.7%	0.0%	0	0	0	0	118 KB	968 B
8	0a/bf2048	2481235	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L2S155	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L2S155)	COMPLETED	0	2026-08-03 01:38:20.306	-	1	1 GB	1	793ms	35ms	40.0%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	112.7 KB	947 B
7	b4/116830	2481185	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L1S105	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L1S105)	COMPLETED	0	2026-08-03 01:38:20.273	-	1	1 GB	1	845ms	27ms	39.4%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
15	d6/4b9954	2481410	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES	L3S341	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (L3S341)	COMPLETED	0	2026-08-03 01:38:20.404	-	1	1 GB	1	738ms	35ms	53.8%	0.0%	2.6 MB	3.9 MB	2.6 MB	3.9 MB	118 KB	968 B
