# Constructed from biom file
#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae	1498.0	682.0	1640.0	1387.0	1779.0	2030.0	1328.0	610.0	19.0	12.0	16.0	17.0	101.0	14.0	0.0	76.0	68.0	0.0	0.0	7.0	0.0	113.0	77.0	77.0	63.0	22.0	17.0	26.0	42.0	22.0	27.0	195.0	110.0	120.0
Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	0.0	2.0	4.0	5.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	8.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	6.0	0.0	0.0	14.0	4.0	10.0	0.0	11.0	5.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	21.0	30.0	52.0	150.0	0.0	0.0	36.0	0.0	47.0	0.0	11.0	7.0	6.0	35.0	1147.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	0.0	0.0	10.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Bacteriovoracaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	19.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	22.0	62.0	27.0	2.0	9.0	28.0	0.0	0.0	4.0	0.0	16.0	0.0	25.0	61.0	80.0	0.0	4.0	0.0	0.0	5.0	15.0	33.0	32.0	35.0
Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	0.0	9.0	0.0	4.0	7.0	0.0	7.0	31.0	0.0	3.0	12.0	14.0	8.0	2.0	0.0	25.0	3.0	0.0	0.0	6.0	5.0	2.0	18.0	18.0	21.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	10.0	0.0
Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	82.0	227.0	96.0	49.0	0.0	274.0	318.0	105.0	0.0	75.0	145.0	59.0	24.0	0.0	1392.0	490.0	1426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
