sample	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
L1S105	7780	7780.0	0.0	100.0	0.0
L1S140	7162	7162.0	0.0	100.0	0.0
L1S208	8146	8146.0	0.0	100.0	0.0
L1S257	6388	6388.0	0.0	100.0	0.0
L1S281	6614	6614.0	0.0	100.0	0.0
L1S57	8701	8701.0	0.0	100.0	0.0
L1S76	7866	7866.0	0.0	100.0	0.0
L1S8	7032	7032.0	0.0	100.0	0.0
L2S155	3932	3766.0	166.0	95.77822990844354	4.221770091556465
L2S175	4385	4377.0	8.0	99.8175598631699	0.1824401368300954
L2S204	3157	2987.0	170.0	94.61514095660436	5.384859043395636
L2S222	3187	2949.0	238.0	92.53216190775024	7.467838092249764
L2S240	5061	5052.0	9.0	99.8221695317131	0.1778304682868992
L2S309	1419	1359.0	60.0	95.77167019027483	4.228329809725167
L2S357	2373	2300.0	73.0	96.92372524230932	3.0762747576906833
L2S382	4089	4082.0	7.0	99.82880899975544	0.17119100024456202
L3S242	897	897.0	0.0	100.0	0.0
L3S294	1225	1125.0	100.0	91.83673469387756	8.16326530612244
L3S313	1103	1103.0	0.0	100.0	0.0
L3S341	962	915.0	47.0	95.11434511434511	4.885654885654887
L3S360	966	824.0	142.0	85.30020703933747	14.699792960662535
L3S378	1248	1248.0	0.0	100.0	0.0
L4S112	8339	8082.0	257.0	96.91809569492746	3.081904305072541
L4S137	9820	9770.0	50.0	99.4908350305499	0.5091649694500973
L4S63	9743	9067.0	676.0	93.06168531253208	6.938314687467923
L5S104	2227	1911.0	316.0	85.8105074090705	14.189492590929504
L5S155	1799	1799.0	0.0	100.0	0.0
L5S174	1953	1953.0	0.0	100.0	0.0
L5S203	2112	2112.0	0.0	100.0	0.0
L5S222	2520	2512.0	8.0	99.68253968253968	0.31746031746031633
L5S240	1792	1792.0	0.0	100.0	0.0
L6S20	6852	6852.0	0.0	100.0	0.0
L6S68	5980	5980.0	0.0	100.0	0.0
L6S93	7044	7044.0	0.0	100.0	0.0
