	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.6868932038834952	0.654126213592233	0.6856796116504854	0.7245145631067961	0.3313106796116505	0.30097087378640774	0.4575242718446602	0.9902912621359223	0.9890776699029126	0.9854368932038835	0.9757281553398058	1.0	0.9781553398058253	0.9866504854368932	0.9975728155339806	0.4890776699029126	1.0	0.9854368932038835	0.9866504854368932	1.0	0.7390776699029126	0.9890776699029126	0.9939320388349514	0.9951456310679612	0.9939320388349514	0.9987864077669902	1.0	1.0	1.0	1.0	1.0	1.0	0.9975728155339806
L1S140	0.6868932038834952	0.0	0.3640776699029126	0.4890776699029126	0.41383495145631066	0.7172330097087378	0.7087378640776699	0.6650485436893204	0.9939320388349514	0.9939320388349514	0.9878640776699029	0.9866504854368932	0.9975728155339806	0.9672330097087378	0.991504854368932	0.9975728155339806	0.7111650485436893	0.9975728155339806	0.9890776699029126	1.0	0.9842233009708737	0.27427184466019416	0.9939320388349514	0.9939320388349514	0.9902912621359223	1.0	0.9987864077669902	1.0	0.9975728155339806	1.0	0.9939320388349514	0.9987864077669902	1.0	0.9987864077669902
L1S208	0.654126213592233	0.3640776699029126	0.0	0.316747572815534	0.2973300970873786	0.7512135922330098	0.6990291262135923	0.7973300970873787	0.9927184466019418	0.9927184466019418	0.9866504854368932	0.9890776699029126	0.9951456310679612	0.9587378640776699	0.9902912621359223	0.9963592233009708	0.8216019417475728	0.9963592233009708	0.9939320388349514	1.0	0.9842233009708737	0.39441747572815533	0.9927184466019418	0.9963592233009708	0.9963592233009708	0.9951456310679612	0.9939320388349514	0.9951456310679612	0.9927184466019418	0.9951456310679612	0.9902912621359223	0.9939320388349514	0.9963592233009708	0.9939320388349514
L1S257	0.6856796116504854	0.4890776699029126	0.316747572815534	0.0	0.3628640776699029	0.7888349514563107	0.7390776699029126	0.8313106796116505	0.9939320388349514	0.9939320388349514	0.9878640776699029	0.9902912621359223	1.0	0.9611650485436893	0.991504854368932	0.9975728155339806	0.8531553398058253	0.9975728155339806	0.9951456310679612	0.9975728155339806	0.9817961165048543	0.5	0.9939320388349514	0.9975728155339806	0.9975728155339806	1.0	0.9987864077669902	1.0	0.9975728155339806	1.0	0.9939320388349514	0.9987864077669902	1.0	0.9987864077669902
L1S281	0.7245145631067961	0.41383495145631066	0.2973300970873786	0.3628640776699029	0.0	0.7766990291262136	0.7160194174757282	0.8628640776699029	0.9987864077669902	0.9963592233009708	0.9902912621359223	0.9890776699029126	1.0	0.9550970873786407	0.9939320388349514	1.0	0.883495145631068	1.0	0.9975728155339806	1.0	0.9842233009708737	0.44660194174757284	0.9963592233009708	1.0	1.0	1.0	0.9987864077669902	1.0	0.9975728155339806	1.0	0.9939320388349514	0.9987864077669902	1.0	0.9987864077669902
L1S57	0.3313106796116505	0.7172330097087378	0.7512135922330098	0.7888349514563107	0.7766990291262136	0.0	0.25970873786407767	0.3786407766990291	0.9939320388349514	0.991504854368932	0.9854368932038835	0.9842233009708737	1.0	0.9757281553398058	0.9866504854368932	1.0	0.39805825242718446	1.0	0.991504854368932	0.9878640776699029	1.0	0.7560679611650486	0.9902912621359223	1.0	1.0	0.9939320388349514	0.9987864077669902	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S76	0.30097087378640774	0.7087378640776699	0.6990291262135923	0.7390776699029126	0.7160194174757282	0.25970873786407767	0.0	0.36529126213592233	0.9939320388349514	0.991504854368932	0.9854368932038835	0.9781553398058253	1.0	0.9781553398058253	0.9866504854368932	1.0	0.39684466019417475	1.0	0.991504854368932	0.9878640776699029	1.0	0.7645631067961165	0.9902912621359223	1.0	1.0	0.9939320388349514	0.9987864077669902	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S8	0.4575242718446602	0.6650485436893204	0.7973300970873787	0.8313106796116505	0.8628640776699029	0.3786407766990291	0.36529126213592233	0.0	0.9890776699029126	0.9866504854368932	0.9805825242718447	0.9854368932038835	0.9951456310679612	0.9878640776699029	0.9817961165048543	0.9951456310679612	0.1553398058252427	0.9951456310679612	0.9866504854368932	0.9878640776699029	1.0	0.7366504854368932	0.9854368932038835	0.9951456310679612	0.9963592233009708	0.9890776699029126	0.9939320388349514	0.9951456310679612	0.9951456310679612	0.9963592233009708	0.9951456310679612	0.9951456310679612	0.9951456310679612	0.9951456310679612
L2S155	0.9902912621359223	0.9939320388349514	0.9927184466019418	0.9939320388349514	0.9987864077669902	0.9939320388349514	0.9939320388349514	0.9890776699029126	0.0	0.5970873786407767	0.8191747572815534	0.7888349514563107	0.8980582524271845	0.6929611650485437	0.6856796116504854	0.787621359223301	0.9878640776699029	0.3434466019417476	0.5776699029126213	0.7742718446601942	0.8446601941747572	0.9927184466019418	0.6941747572815534	0.7548543689320388	0.6796116504854369	0.8701456310679612	0.8907766990291263	0.9150485436893204	0.8677184466019418	0.9114077669902912	0.8968446601941747	0.9283980582524272	0.8871359223300971	0.9029126213592233
L2S175	0.9890776699029126	0.9939320388349514	0.9927184466019418	0.9939320388349514	0.9963592233009708	0.991504854368932	0.991504854368932	0.9866504854368932	0.5970873786407767	0.0	0.7936893203883495	0.7621359223300971	0.845873786407767	0.5436893203883495	0.5351941747572816	0.7402912621359223	0.9854368932038835	0.6735436893203883	0.32160194174757284	0.7050970873786407	0.8410194174757282	0.9963592233009708	0.5024271844660194	0.6298543689320388	0.6686893203883495	0.7888349514563107	0.8337378640776699	0.8652912621359223	0.8131067961165048	0.8604368932038835	0.845873786407767	0.8932038834951457	0.8470873786407767	0.8628640776699029
L2S204	0.9854368932038835	0.9878640776699029	0.9866504854368932	0.9878640776699029	0.9902912621359223	0.9854368932038835	0.9854368932038835	0.9805825242718447	0.8191747572815534	0.7936893203883495	0.0	0.7487864077669902	0.9502427184466019	0.779126213592233	0.6650485436893204	0.8980582524271845	0.9902912621359223	0.8288834951456311	0.8203883495145631	0.4429611650485437	0.7245145631067961	0.9963592233009708	0.7111650485436893	0.8774271844660194	0.7378640776699029	0.9587378640776699	0.9635922330097088	0.9635922330097088	0.9550970873786407	0.9563106796116505	0.9550970873786407	0.9550970873786407	0.9429611650485437	0.9429611650485437
L2S222	0.9757281553398058	0.9866504854368932	0.9890776699029126	0.9902912621359223	0.9890776699029126	0.9842233009708737	0.9781553398058253	0.9854368932038835	0.7888349514563107	0.7621359223300971	0.7487864077669902	0.0	0.9356796116504854	0.7924757281553398	0.8398058252427184	0.8810679611650486	0.9902912621359223	0.8434466019417476	0.808252427184466	0.8143203883495146	0.5254854368932039	0.9902912621359223	0.7815533980582524	0.8652912621359223	0.6978155339805825	0.9526699029126213	0.9526699029126213	0.9526699029126213	0.9441747572815534	0.9490291262135923	0.9429611650485437	0.9429611650485437	0.9381067961165048	0.9356796116504854
L2S240	1.0	0.9975728155339806	0.9951456310679612	1.0	1.0	1.0	1.0	0.9951456310679612	0.8980582524271845	0.845873786407767	0.9502427184466019	0.9356796116504854	0.0	0.8616504854368932	0.8240291262135923	0.8677184466019418	0.9902912621359223	0.9368932038834952	0.8410194174757282	0.8932038834951457	0.9381067961165048	0.9939320388349514	0.8252427184466019	0.8021844660194175	0.8725728155339806	0.3737864077669903	0.44660194174757284	0.5279126213592233	0.4211165048543689	0.4356796116504854	0.16262135922330098	0.3762135922330097	0.220873786407767	0.41140776699029125
L2S309	0.9781553398058253	0.9672330097087378	0.9587378640776699	0.9611650485436893	0.9550970873786407	0.9757281553398058	0.9781553398058253	0.9878640776699029	0.6929611650485437	0.5436893203883495	0.779126213592233	0.7924757281553398	0.8616504854368932	0.0	0.4186893203883495	0.7427184466019418	0.9830097087378641	0.741504854368932	0.5194174757281553	0.7002427184466019	0.779126213592233	0.9660194174757282	0.41262135922330095	0.6274271844660194	0.4563106796116505	0.8470873786407767	0.8798543689320388	0.9053398058252428	0.8604368932038835	0.8919902912621359	0.8483009708737864	0.8932038834951457	0.8313106796116505	0.8567961165048543
