	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.7906976744186046	0.8	0.7978723404255319	0.8020833333333334	0.6282051282051282	0.515625	0.7313432835820896	0.9701492537313433	0.9769230769230769	0.9841269841269841	0.9767441860465116	1.0	0.9702970297029703	0.967741935483871	0.9938650306748467	0.7719298245614035	1.0	0.9560439560439561	0.978021978021978	1.0	0.8571428571428571	0.9811320754716981	0.9871794871794872	0.9898477157360406	0.9863013698630136	0.9857142857142858	1.0	1.0	1.0	1.0	1.0	1.0	0.989247311827957
L1S140	0.7906976744186046	0.0	0.7	0.6704545454545454	0.6923076923076923	0.7934782608695652	0.7777777777777778	0.7464788732394366	0.9857142857142858	0.9851851851851852	0.9846153846153847	0.9830508474576272	0.9885057471264368	0.9615384615384616	0.9690721649484536	0.9940119760479041	0.8615384615384616	0.9888888888888889	0.96875	1.0	0.9902912621359223	0.6229508196721312	0.9878048780487805	0.9875	0.985	1.0	0.9864864864864865	1.0	0.9876543209876543	1.0	0.9866666666666667	0.9883720930232558	1.0	0.9896907216494846
L1S208	0.8	0.7	0.0	0.45555555555555555	0.43333333333333335	0.7570093457943925	0.7525773195876289	0.8556701030927835	0.9876543209876543	0.9872611464968153	0.9868421052631579	0.9849246231155779	0.9814814814814815	0.96	0.9747899159663865	0.9947089947089947	0.8837209302325582	0.9910714285714286	0.9831932773109243	1.0	0.992	0.7674418604651163	0.989247311827957	0.994535519125683	0.9955357142857143	0.9795918367346939	0.9680851063829787	0.9801980198019802	0.9702970297029703	0.9795918367346939	0.9791666666666666	0.9716981132075472	0.9908256880733946	0.9743589743589743
L1S257	0.7978723404255319	0.6704545454545454	0.45555555555555555	0.0	0.358974358974359	0.7755102040816326	0.7142857142857143	0.8863636363636364	0.9865771812080537	0.9861111111111112	0.9856115107913669	0.9838709677419355	1.0	0.9459459459459459	0.9716981132075472	0.9943181818181818	0.9078947368421053	0.98989898989899	0.9811320754716981	0.9904761904761905	0.9819819819819819	0.7083333333333334	0.9884393063583815	0.9941176470588236	0.995260663507109	1.0	0.9879518072289156	1.0	0.9888888888888889	1.0	0.9880952380952381	0.9894736842105263	1.0	0.9905660377358491
L1S281	0.8020833333333334	0.6923076923076923	0.43333333333333335	0.358974358974359	0.0	0.7551020408163265	0.7209302325581395	0.8764044943820225	0.993421052631579	0.9931972789115646	0.9929577464788732	0.9840425531914894	1.0	0.956140350877193	0.981651376146789	1.0	0.8961038961038961	1.0	0.9908256880733946	1.0	0.9912280701754386	0.6986301369863014	0.9943181818181818	1.0	1.0	1.0	0.9882352941176471	1.0	0.9891304347826086	1.0	0.9883720930232558	0.9896907216494846	1.0	0.9907407407407407
L1S57	0.6282051282051282	0.7934782608695652	0.7570093457943925	0.7755102040816326	0.7551020408163265	0.0	0.5	0.7733333333333333	0.986013986013986	0.9855072463768116	0.9849624060150376	0.988950276243094	1.0	0.9626168224299065	0.97	1.0	0.8333333333333334	1.0	0.98	0.98989898989899	1.0	0.8552631578947368	0.9880239520958084	1.0	1.0	0.9875	0.987012987012987	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S76	0.515625	0.7777777777777778	0.7525773195876289	0.7142857142857143	0.7209302325581395	0.5	0.0	0.7692307692307693	0.9847328244274809	0.9841269841269841	0.9834710743801653	0.9821428571428571	1.0	0.96875	0.9659090909090909	1.0	0.8181818181818182	1.0	0.9772727272727273	0.9885057471264368	1.0	0.828125	0.9870967741935484	1.0	1.0	0.9852941176470589	0.9846153846153847	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S8	0.7313432835820896	0.7464788732394366	0.8556701030927835	0.8863636363636364	0.8764044943820225	0.7733333333333333	0.7692307692307693	0.0	0.975	0.9739130434782609	0.9727272727272728	0.9810126582278481	0.9852941176470589	0.9770114942528736	0.948051948051948	0.9932432432432432	0.5526315789473685	0.9859154929577465	0.961038961038961	0.987012987012987	1.0	0.8181818181818182	0.9791666666666666	0.9929577464788732	0.994535519125683	0.9649122807017544	0.9629629629629629	0.9836065573770492	0.9838709677419355	0.9827586206896551	0.9821428571428571	0.9850746268656716	0.9852941176470589	0.9871794871794872
L2S155	0.9701492537313433	0.9857142857142858	0.9876543209876543	0.9865771812080537	0.993421052631579	0.986013986013986	0.9847328244274809	0.975	0.0	0.6640625	0.8226950354609929	0.8176795580110497	0.9009009009009009	0.8067226890756303	0.7818181818181819	0.8457142857142858	0.9714285714285714	0.75	0.7211538461538461	0.8198198198198198	0.896	0.9827586206896551	0.7654320987654321	0.7975460122699386	0.7846153846153846	0.912621359223301	0.941747572815534	0.944954128440367	0.8952380952380953	0.9230769230769231	0.9423076923076923	0.9385964912280702	0.9203539823008849	0.926829268292683
L2S175	0.9769230769230769	0.9851851851851852	0.9872611464968153	0.9861111111111112	0.9931972789115646	0.9855072463768116	0.9841269841269841	0.9739130434782609	0.6640625	0.0	0.7709923664122137	0.7777777777777778	0.875	0.7767857142857143	0.794392523364486	0.8411764705882353	0.97	0.7878787878787878	0.6236559139784946	0.7884615384615384	0.8728813559322034	0.9910714285714286	0.7254901960784313	0.743421052631579	0.7979274611398963	0.8617021276595744	0.9052631578947369	0.9108910891089109	0.8673469387755102	0.8854166666666666	0.90625	0.9158878504672897	0.8857142857142857	0.8558558558558559
