	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.3887798190116882	0.5517258048057556	0.4808968305587769	0.4834868311882019	0.3571698069572449	0.3032753169536591	0.4708830118179321	0.803117036819458	0.802805483341217	0.8121383786201477	0.8158627152442932	0.7032182216644287	0.7519202828407288	0.7315669655799866	0.7902745008468628	0.5105558633804321	0.809628963470459	0.6888459324836731	0.6812971234321594	0.8314471840858459	0.4511319398880005	0.8042129278182983	0.7834599018096924	0.8566594123840332	0.648445725440979	0.643588125705719	0.6924605965614319	0.6793239116668701	0.6748400330543518	0.6496167778968811	0.6772156953811646	0.6748873591423035	0.6813343167304993
L1S140	0.3887798190116882	0	0.4543546140193939	0.3948728442192078	0.4200515151023865	0.4183911681175232	0.4239986836910248	0.4571226537227631	0.8124618530273438	0.8058387041091919	0.82745361328125	0.8411107659339905	0.6874374151229858	0.7759535908699036	0.7226032018661499	0.794623076915741	0.5217453241348267	0.8008741140365601	0.6962246298789978	0.7074957489967346	0.8493368029594421	0.2869914174079895	0.8104084730148315	0.7721851468086243	0.8657945394515991	0.6380724906921387	0.6370367407798767	0.6879580616950989	0.6790083050727844	0.6651126742362976	0.6427253484725952	0.6819085478782654	0.6689872741699219	0.673159122467041
L1S208	0.5517258048057556	0.4543546140193939	0	0.3205556869506836	0.2393278479576111	0.4852229952812195	0.4832692444324493	0.5204241871833801	0.8288471102714539	0.829841673374176	0.8347338438034058	0.8438295125961304	0.74178147315979	0.7990712523460388	0.7318683266639709	0.816929042339325	0.5543487668037415	0.8320239782333374	0.7469940185546875	0.7321256995201111	0.8434125781059265	0.4841398894786835	0.8254541754722595	0.8028355240821838	0.877421498298645	0.7232891321182251	0.716836154460907	0.7396454215049744	0.7329973578453064	0.7281374335289001	0.7135613560676575	0.7404166460037231	0.7123993039131165	0.7316228747367859
L1S257	0.4808968305587769	0.3948728442192078	0.3205556869506836	0	0.1966284811496735	0.3889417946338654	0.4025446772575378	0.5201699137687683	0.8434311747550964	0.8517032265663147	0.8476715087890625	0.8622415065765381	0.782240629196167	0.8045587539672852	0.7481844425201416	0.8456104397773743	0.5527235865592957	0.8499534726142883	0.7701184749603271	0.7506645917892456	0.8503125905990601	0.4473778605461121	0.8440362215042114	0.8329144716262817	0.8919310569763184	0.7409539222717285	0.7352182865142822	0.7756150364875793	0.7580954432487488	0.7626817226409912	0.7416874766349792	0.7636552453041077	0.7562607526779175	0.7647762894630432
L1S281	0.4834868311882019	0.4200515151023865	0.2393278479576111	0.1966284811496735	0	0.4314346015453339	0.4166201055049896	0.4941436052322388	0.841661274433136	0.8496544361114502	0.8447024822235107	0.8532315492630005	0.7770740985870361	0.8040400147438049	0.7534782290458679	0.8388209939002991	0.5297198295593262	0.8495741486549377	0.7704294323921204	0.751798152923584	0.8485075831413269	0.4164753556251526	0.8378568291664124	0.8291380405426025	0.886920690536499	0.758853018283844	0.7540757656097412	0.7761386632919312	0.7593151926994324	0.7637815475463867	0.7471593022346497	0.7648274302482605	0.7518142461776733	0.7768122553825378
L1S57	0.3571698069572449	0.4183911681175232	0.4852229952812195	0.3889417946338654	0.4314346015453339	0	0.2368575781583786	0.370033323764801	0.8526127934455872	0.8546635508537292	0.8534725904464722	0.8678173422813416	0.7787256836891174	0.7996089458465576	0.7472042441368103	0.8528685569763184	0.4089913666248322	0.8541732430458069	0.7752053737640381	0.7488357424736023	0.8543632030487061	0.4867194592952728	0.8510051369667053	0.841238796710968	0.896518349647522	0.734185516834259	0.7288749814033508	0.7731545567512512	0.7543405890464783	0.7590388059616089	0.7360892295837402	0.7562380433082581	0.7530382871627808	0.7584950923919678
L1S76	0.3032753169536591	0.4239986836910248	0.4832692444324493	0.4025446772575378	0.4166201055049896	0.2368575781583786	0	0.4003410339355469	0.8443453907966614	0.8446705341339111	0.8387384414672852	0.8530429601669312	0.7593995332717896	0.8030729293823242	0.7203203439712524	0.8378846645355225	0.4415740668773651	0.8417372703552246	0.7520959973335266	0.7241066098213196	0.851710319519043	0.4985081553459167	0.8385670781135559	0.8234963417053223	0.8863292336463928	0.7100527286529541	0.7028275728225708	0.7517455816268921	0.7327238321304321	0.7360150814056396	0.7118247151374817	0.7261967658996582	0.7319482564926147	0.7382016181945801
L1S8	0.4708830118179321	0.4571226537227631	0.5204241871833801	0.5201699137687683	0.4941436052322388	0.370033323764801	0.4003410339355469	0	0.8308213353157043	0.8240576386451721	0.837827205657959	0.8538526296615601	0.7369412183761597	0.773750364780426	0.6972824931144714	0.8254255056381226	0.1528014838695526	0.8233554363250732	0.7268422842025757	0.7108806967735291	0.814742386341095	0.4090042412281036	0.8241324424743652	0.8129239082336426	0.8792286515235901	0.6963260769844055	0.6839363574981689	0.7283105850219727	0.7178387045860291	0.7103648781776428	0.6814961433410645	0.7145453095436096	0.7101497054100037	0.7275266051292419
L2S155	0.803117036819458	0.8124618530273438	0.8288471102714539	0.8434311747550964	0.841661274433136	0.8526127934455872	0.8443453907966614	0.8308213353157043	0	0.336064487695694	0.4055725634098053	0.4490272700786591	0.679848313331604	0.3586807250976562	0.6464847326278687	0.6555644869804382	0.8286790251731873	0.3713157773017883	0.5547900795936584	0.6088559031486511	0.420312762260437	0.7952811121940613	0.3740254044532776	0.6318191289901733	0.5241423845291138	0.7063310742378235	0.7233960032463074	0.736071765422821	0.6885913610458374	0.7168592810630798	0.7188599705696106	0.7244791984558105	0.7148436903953552	0.7159121036529541
L2S175	0.802805483341217	0.8058387041091919	0.829841673374176	0.8517032265663147	0.8496544361114502	0.8546635508537292	0.8446705341339111	0.8240576386451721	0.336064487695694	0	0.3421208560466766	0.3934049904346466	0.6475405693054199	0.2854245901107788	0.5697199702262878	0.609109103679657	0.8128283619880676	0.3092550039291382	0.4714303314685822	0.5226912498474121	0.366353303194046	0.787078857421875	0.3249770700931549	0.5608757734298706	0.5129099488258362	0.6729629039764404	0.695936918258667	0.7100847959518433	0.651642918586731	0.6859787106513977	0.6870341897010803	0.6939409375190735	0.6732822060585022	0.6503976583480835
