	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.1452988386154175	0.1173789799213409	0.1335740238428116	0.09907132387161255	0.07461453229188919	0.1000532507896423	0.1920448839664459	0.8100284337997437	0.8623525500297546	0.663256049156189	0.6543322801589966	0.6814247369766235	0.7801293730735779	0.7633654475212097	0.7397276163101196	0.2074888199567795	0.8137684464454651	0.8472793102264404	0.6254231929779053	0.636816680431366	0.1553335934877396	0.7681336402893066	0.71037757396698	0.8138431310653687	0.7454514503479004	0.6952625513076782	0.7339891195297241	0.7147947549819946	0.6991720199584961	0.6755275130271912	0.6497856378555298	0.6593540906906128	0.6750257015228271
L1S140	0.1452988386154175	0	0.1151336655020714	0.141223132610321	0.1632837504148483	0.1292009949684143	0.09223452210426331	0.1193125247955322	0.8592224717140198	0.906499981880188	0.6937800645828247	0.693560004234314	0.7249021530151367	0.8241727948188782	0.813255250453949	0.7818659543991089	0.1255105584859848	0.8619243502616882	0.8914487361907959	0.6625001430511475	0.670430064201355	0.06196331232786179	0.8163298368453979	0.7537957429885864	0.8605946898460388	0.7895862460136414	0.7364447712898254	0.7792388200759888	0.7600113153457642	0.7424801588058472	0.7151373028755188	0.680144190788269	0.7029777765274048	0.7038769125938416
L1S208	0.1173789799213409	0.1151336655020714	0	0.0547240749001503	0.09299640357494354	0.1016660183668137	0.0970778614282608	0.1806735992431641	0.8312516212463379	0.8849654197692871	0.6751285195350647	0.6747692227363586	0.7053402662277222	0.8046798706054688	0.780434250831604	0.7624363899230957	0.191994696855545	0.8343299627304077	0.8709016442298889	0.646287739276886	0.6532269716262817	0.116605743765831	0.7881025671958923	0.734020471572876	0.8380846977233887	0.7700648307800293	0.7162808775901794	0.7579491138458252	0.7393089532852173	0.7223888039588928	0.6974389553070068	0.6717254519462585	0.682900607585907	0.6963125467300415
L1S257	0.1335740238428116	0.141223132610321	0.0547240749001503	0	0.09328226745128632	0.1172938048839569	0.1245271265506744	0.194615364074707	0.8190586566925049	0.8739938139915466	0.6657975316047668	0.662906289100647	0.6944614052772522	0.7921810746192932	0.7682451605796814	0.750992476940155	0.2063728272914886	0.822192907333374	0.8595253229141235	0.6345831751823425	0.6398497819900513	0.1450874805450439	0.7764407396316528	0.722367525100708	0.8263929486274719	0.7593392133712769	0.7055665850639343	0.7475524544715881	0.72855144739151	0.7119477987289429	0.6869186162948608	0.6607100963592529	0.6729074120521545	0.6860094666481018
L1S281	0.09907132387161255	0.1632837504148483	0.09299640357494354	0.09328226745128632	0	0.1130709275603294	0.1436058431863785	0.2404729723930359	0.7905787825584412	0.8449534177780151	0.654854953289032	0.6460177898406982	0.66734778881073	0.7631723284721375	0.7396076321601868	0.7214642763137817	0.2509848475456238	0.7935634255409241	0.8303496837615967	0.6186042428016663	0.62650465965271	0.165259063243866	0.747377336025238	0.6929230690002441	0.7972149252891541	0.7294785380363464	0.6882304549217224	0.7243858575820923	0.6984173059463501	0.6823862195014954	0.669331431388855	0.6451300382614136	0.6510636806488037	0.6688026189804077
L1S57	0.07461453229188919	0.1292009949684143	0.1016660183668137	0.1172938048839569	0.1130709275603294	0	0.09152484685182571	0.1689112186431885	0.8099241256713867	0.8523163199424744	0.6614542603492737	0.6501340270042419	0.6705942153930664	0.7779735922813416	0.7602963447570801	0.7278811931610107	0.1815471798181534	0.8131735920906067	0.8457975387573242	0.6139039397239685	0.630556046962738	0.1502302885055542	0.7651324272155762	0.7000043988227844	0.8148765563964844	0.7357418537139893	0.6848112940788269	0.7236948609352112	0.7047015428543091	0.6894158720970154	0.6649733781814575	0.6431519985198975	0.6493043899536133	0.6645697355270386
L1S76	0.1000532507896423	0.09223452210426331	0.0970778614282608	0.1245271265506744	0.1436058431863785	0.09152484685182571	0	0.1388262063264847	0.8394315242767334	0.8942707777023315	0.6761050820350647	0.6760020852088928	0.7131402492523193	0.8124198913574219	0.7887237668037415	0.7712551951408386	0.1529801189899445	0.8422425389289856	0.8795912265777588	0.6475631594657898	0.6545244455337524	0.08674947917461395	0.7965480089187622	0.7414330244064331	0.8462610244750977	0.7777727246284485	0.7240393757820129	0.7660530805587769	0.7470520734786987	0.7314372658729553	0.7032807469367981	0.6724828481674194	0.6916451454162598	0.6985392570495605
L1S8	0.1920448839664459	0.1193125247955322	0.1806735992431641	0.194615364074707	0.2404729723930359	0.1689112186431885	0.1388262063264847	0	0.8383064270019531	0.8908602595329285	0.6603344082832336	0.6738455295562744	0.7124482393264771	0.8067992925643921	0.7880237102508545	0.7678526639938354	0.0588265061378479	0.8417257070541382	0.8769426345825195	0.6466012001037598	0.6428231596946716	0.1517477631568909	0.7934130430221558	0.7400616407394409	0.8419036269187927	0.7774071097373962	0.7246171236038208	0.7646563053131104	0.7467420101165771	0.7306467294692993	0.7047664523124695	0.6628785729408264	0.6930800676345825	0.6915714144706726
L2S155	0.8100284337997437	0.8592224717140198	0.8312516212463379	0.8190586566925049	0.7905787825584412	0.8099241256713867	0.8394315242767334	0.8383064270019531	0	0.2628147602081299	0.5002232789993286	0.4387988746166229	0.4888227581977844	0.3907896280288696	0.2762439250946045	0.4929407238960266	0.8511177897453308	0.1321789920330048	0.2649910151958466	0.438410609960556	0.4335613250732422	0.8700832724571228	0.3100259304046631	0.3830512464046478	0.3086643815040588	0.525432825088501	0.5537008047103882	0.8560518026351929	0.5167524814605713	0.597537100315094	0.526993989944458	0.5496120452880859	0.5150348544120789	0.7857822179794312
L2S175	0.8623525500297546	0.906499981880188	0.8849654197692871	0.8739938139915466	0.8449534177780151	0.8523163199424744	0.8942707777023315	0.8908602595329285	0.2628147602081299	0	0.624850869178772	0.5354116559028625	0.5314189195632935	0.2746126055717468	0.2905510663986206	0.4646552205085754	0.9021093249320984	0.3243213295936584	0.1243667677044868	0.5029135942459106	0.5432665348052979	0.9236452579498291	0.2659611701965332	0.3389866352081299	0.3151969909667969	0.4822595417499542	0.5372015833854675	0.8544132709503174	0.4881744682788849	0.6352609395980835	0.5734615325927734	0.6400532126426697	0.5602976083755493	0.8413953185081482
