# Constructed from biom file
#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
Bacteria;Bacillota	0.3519280205655527	0.2898631667132086	0.3602995335133808	0.36725109580463366	0.4532809192621712	0.4178830019537984	0.3348588863463005	0.20676905574516496	0.2575677110993096	0.4201507882111035	0.14998326079678606	0.17599186164801628	0.2391132224861441	0.5923473142016188	0.5256521739130435	0.3630573248407643	0.18840579710144928	0.20266666666666666	0.5095194922937444	0.25573770491803277	0.12742718446601942	0.31971153846153844	0.5459044790893344	0.38546571136131014	0.4698356678063306	0.3652537938252224	0.3157309616453585	0.3143881208397337	0.3418560606060606	0.22969745222929935	0.21986607142857142	0.15280210157618213	0.21989966555183946	0.2020159000567859
Bacteria;Pseudomonadota	0.010025706940874035	0.009913432002234013	0.001964154186103609	0.015497808390732623	0.008013305110371939	0.017699115044247787	0.037503178235443684	0.035551763367463025	0.34014869888475835	0.13091158327621658	0.6240374958151992	0.5167853509664293	0.5061361836896279	0.16114790286975716	0.2565217391304348	0.16976972072513474	0.05128205128205128	0.3751111111111111	0.10335448776065277	0.5202185792349727	0.6080097087378641	0.009615384615384616	0.2275426874536006	0.31003070624360285	0.20072791441491122	0.28623757195185767	0.5419677598665925	0.17357910906298002	0.3963068181818182	0.34554140127388533	0.5457589285714286	0.6549912434325744	0.5048494983277592	0.2935831913685406
Bacteria;Actinomycetota	0.0	0.0009773806199385646	0.00024551927326295114	0.000469630557294928	0.0	0.0	0.0	0.0	0.3167817312798725	0.3379026730637423	0.04720455306327419	0.08884367582231265	0.04631828978622328	0.14643119941133187	0.17130434782608694	0.09480646741793239	0.0	0.3928888888888889	0.3354487760652765	0.07540983606557378	0.0983009708737864	0.0	0.15874783469438258	0.11218014329580347	0.1819786037278041	0.10779696493982208	0.03557531962201223	0.0445468509984639	0.050662878787878785	0.01751592356687898	0.05803571428571429	0.029918272037361353	0.04431438127090301	0.00922771152754117
Bacteria;Patescibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006854009595613434	0.0016739203213927017	0.002373685995252628	0.0	0.0	0.0	0.0007349338559529642	0.0	0.0	0.0	0.0	0.0	0.0	0.0006186587478346944	0.00020470829068577277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028392958546280523
Bacteria;Bdellovibrionota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022058012573067168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota	0.5980719794344473	0.6864004468025691	0.6333169653817825	0.6075453976205385	0.5328091926217116	0.5567176186645213	0.6228070175438597	0.6656712172923777	0.026553372278279343	0.06716929403701165	0.13592233009708737	0.16005425567989148	0.0688836104513064	0.05592347314201619	0.03	0.18275355218030379	0.7146042363433668	0.009777777777777778	0.029918404351767906	0.12568306010928962	0.11893203883495146	0.65625	0.0483791140806731	0.13346980552712384	0.05007168854086247	0.1391941391941392	0.07615341856586992	0.3978494623655914	0.08948863636363637	0.19148089171974522	0.07421875	0.054144775248102746	0.06204013377926421	0.37748438387279953
Bacteria;Thermodesulfobacteriota	0.010154241645244215	0.012845573862049707	0.003805548735575743	0.008296806512210394	0.005896583005745389	0.004022526146419952	0.003686753114670735	0.00881683731513083	0.0	0.0	0.0006695681285570807	0.001017293997965412	0.0	0.0	0.0	0.0	0.020066889632107024	0.0	0.0	0.0	0.0	0.014423076923076924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Campylobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010621348911311736	0.0009138679460817912	0.0	0.00339097999321804	0.006730007917656373	0.002207505518763797	0.0034782608695652175	0.016658500734933857	0.0	0.0	0.0	0.0	0.0	0.0	0.0014847809948032665	0.003480040941658137	0.0025366714459027244	0.0052328623757195184	0.0044469149527515284	0.010752688172043012	0.017992424242424244	0.007165605095541401	0.00390625	0.010653823701109165	0.005183946488294315	0.01519023282226008
Bacteria;Fusobacteriota	0.003984575835475578	0.0	0.0	0.0	0.0	0.0	0.0	0.0004266211604095563	0.05151354221986192	0.03792551976239433	0.03013056578506863	0.03831807392336385	0.13281868566904195	0.03532008830022075	0.01217391304347826	0.1499265066144047	0.0	0.016	0.016319129646418858	0.020765027322404372	0.043689320388349516	0.0	0.013239297203662459	0.05005117707267144	0.0840410279033859	0.09628466771323914	0.02612562534741523	0.05888376856118792	0.10369318181818182	0.2085987261146497	0.09821428571428571	0.09748978400467016	0.1637123745819398	0.10221465076660988
Bacteria;Planctomycetota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008661222469685721	0.0	0.0003308701885960075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004248539564524694	0.002284669865204478	0.010378305992634751	0.01017293997965412	0.0	0.0051508462104488595	0.0008695652173913044	0.0	0.0	0.0035555555555555557	0.0	0.0	0.0036407766990291263	0.0	0.0016085127443702053	0.0	0.004191022388882762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Myxococcota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013563919972872161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003308701885960075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Deinococcota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013276686139139671	0.0015992689056431345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005439709882139619	0.002185792349726776	0.0	0.0	0.0	0.0	0.00044116025146134335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Verrucomicrobiota	0.02583547557840617	0.0	0.0003682789098944267	0.000939261114589856	0.0	0.0036777381910125273	0.0011441647597254005	0.08276450511945392	0.0007966011683483802	0.0	0.0	0.0	0.0	0.0014716703458425313	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0003711952487008166	0.0	0.000661740377192015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012983831455169036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002354145342886387	0.0003308701885960075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022058012573067168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001017293997965412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007720304400573508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009309162175404213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027635619242579327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea;Thermoproteota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004949269982677555	0.0	0.0008823205029226867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007423904974016332	0.0	0.0014337708172493658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Rhodothermota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003308701885960075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006781959986436081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000661740377192015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Abditibacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004569339730408956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
